Date,Close,VNO
01/10/2010,85.96,0.00501488
30/09/2010,85.53,0.001872441
29/09/2010,85.37,-0.014074091
28/09/2010,86.58,-0.003113651
27/09/2010,86.85,-0.001725626
24/09/2010,87,0.026792517
23/09/2010,84.7,-0.03000574
22/09/2010,87.28,-0.012298037
21/09/2010,88.36,-0.00226091
20/09/2010,88.56,0.023189114
17/09/2010,86.53,0.004633392
16/09/2010,86.13,-0.007633625
15/09/2010,86.79,0.011822113
14/09/2010,85.77,-0.003026778
13/09/2010,86.03,0.013221979
10/09/2010,84.9,0.004131018
09/09/2010,84.55,-0.015724332
08/09/2010,85.89,0.001631322
07/09/2010,85.75,-0.019173607
03/09/2010,87.41,0.014635813
02/09/2010,86.14,0.021592015
01/09/2010,84.3,0.039192244
31/08/2010,81.06,0.007305177
30/08/2010,80.47,-0.01369969
27/08/2010,81.58,0.014196893
26/08/2010,80.43,-0.009774281
25/08/2010,81.22,0.014759958
24/08/2010,80.03,-0.011553641
23/08/2010,80.96,-0.001234416
20/08/2010,81.06,-0.005904076
19/08/2010,81.54,-0.029961168
18/08/2010,84.02,-0.00023801
17/08/2010,84.04,0.035116818
16/08/2010,81.14,0.001726903
13/08/2010,81,-0.003573853
12/08/2010,81.29,-0.013198285
11/08/2010,82.37,-0.019119202
10/08/2010,83.96,-0.019111116
09/08/2010,85.58,0.008566619
06/08/2010,84.85,-0.001177856
05/08/2010,84.95,-0.008323124
04/08/2010,85.66,0.010208361
03/08/2010,84.79,-0.018925799
02/08/2010,86.41,0.042916924
30/07/2010,82.78,0.004479698
29/07/2010,82.41,-0.008337913
28/07/2010,83.1,0.005308893
27/07/2010,82.66,-0.002416628
26/07/2010,82.86,0.033626926
23/07/2010,80.12,0.012812636
22/07/2010,79.1,0.045785832
21/07/2010,75.56,-0.020824536
20/07/2010,77.15,0.018313134
19/07/2010,75.75,0.014360039
16/07/2010,74.67,-0.02916736
15/07/2010,76.88,0.002604846
14/07/2010,76.68,-0.008053037
13/07/2010,77.3,0.021973157
12/07/2010,75.62,0.008232685
