Date,Close,PLL
30/12/2010,49.44,-0.005446307
29/12/2010,49.71,-0.004015263
28/12/2010,49.91,-0.000200341
27/12/2010,49.92,0.001002105
23/12/2010,49.87,-0.003602886
22/12/2010,50.05,-0.006571765
21/12/2010,50.38,0.008571766
20/12/2010,49.95,-0.0010005
17/12/2010,50,-0.002596626
16/12/2010,50.13,0.012444962
15/12/2010,49.51,-0.002017757
14/12/2010,49.61,0.002017757
13/12/2010,49.51,-0.009848336
10/12/2010,50,0.040405415
09/12/2010,48.02,-0.000624545
08/12/2010,48.05,-0.00849658
07/12/2010,48.46,0.00247934
06/12/2010,48.34,0.015426614
03/12/2010,47.6,0.008862687
02/12/2010,47.18,0.020557469
01/12/2010,46.22,0.020768043
30/11/2010,45.27,0.002432822
29/11/2010,45.16,-0.018864345
26/11/2010,46.02,-0.002820876
24/11/2010,46.15,0.024568027
23/11/2010,45.03,-0.006860711
22/11/2010,45.34,0.004642431
19/11/2010,45.13,0.01766001
18/11/2010,44.34,0.014539102
17/11/2010,43.7,0.012665685
16/11/2010,43.15,-0.019961659
15/11/2010,44.02,0.007295974
12/11/2010,43.7,-0.003426617
11/11/2010,43.85,-0.002277905
10/11/2010,43.95,0.005018259
09/11/2010,43.73,-0.008878829
08/11/2010,44.12,-0.012836569
05/11/2010,44.69,0.002240144
04/11/2010,44.59,0.024059263
03/11/2010,43.53,0.004835933
02/11/2010,43.32,0.013245227
01/11/2010,42.75,0.001873098
29/10/2010,42.67,0.004933641
28/10/2010,42.46,-0.000235488
27/10/2010,42.47,-0.014260908
26/10/2010,43.08,-0.006247851
25/10/2010,43.35,-0.001843743
22/10/2010,43.43,-0.006883919
21/10/2010,43.73,0.01219387
20/10/2010,43.2,0.02010823
19/10/2010,42.34,-0.027028672
18/10/2010,43.5,0.000459876
15/10/2010,43.48,-0.00504704
14/10/2010,43.7,-0.011829073
13/10/2010,44.22,0.014120025
12/10/2010,43.6,0.006904515
11/10/2010,43.3,0.001155402
08/10/2010,43.25,0.013266807
07/10/2010,42.68,0.0115472
06/10/2010,42.19,-0.007791327
05/10/2010,42.52,0.027660323
04/10/2010,41.36,-0.014640847
01/10/2010,41.97,0.007893834
30/09/2010,41.64,0.002163722
29/09/2010,41.55,-0.005998818
28/09/2010,41.8,0.007202912
27/09/2010,41.5,-0.006245516
24/09/2010,41.76,0.022766786
23/09/2010,40.82,-0.009023351
22/09/2010,41.19,-0.000485437
21/09/2010,41.21,-0.001212562
20/09/2010,41.26,0.019826864
17/09/2010,40.45,0.0076933
16/09/2010,40.14,-0.006703936
15/09/2010,40.41,0.060701957
14/09/2010,38.03,-0.002101393
13/09/2010,38.11,0.014803337
10/09/2010,37.55,0.002666668
09/09/2010,37.45,0.007235728
08/09/2010,37.18,-0.015479359
07/09/2010,37.76,0.015479359
03/09/2010,37.18,0.012449417
02/09/2010,36.72,0.022862861
01/09/2010,35.89,0.048525502
31/08/2010,34.19,-0.006414016
30/08/2010,34.41,-0.021277398
27/08/2010,35.15,0.025646125
26/08/2010,34.26,-0.00958613
25/08/2010,34.59,0.008127766
24/08/2010,34.31,-0.02048247
23/08/2010,35.02,-0.015302084
20/08/2010,35.56,-0.009237295
19/08/2010,35.89,-0.01630546
18/08/2010,36.48,-0.001917021
17/08/2010,36.55,0.025773908
16/08/2010,35.62,0.004501977
13/08/2010,35.46,-0.004782679
12/08/2010,35.63,-0.013381856
11/08/2010,36.11,-0.04917252
10/08/2010,37.93,-0.015175592
09/08/2010,38.51,0.002079543
06/08/2010,38.43,-0.002858258
05/08/2010,38.54,0.007030364
04/08/2010,38.27,-0.006770859
03/08/2010,38.53,-0.010328003
02/08/2010,38.93,0.017883073
30/07/2010,38.24,0.01130847
29/07/2010,37.81,-0.004486087
28/07/2010,37.98,-0.00577581
27/07/2010,38.2,-0.011193661
26/07/2010,38.63,0.005451019
23/07/2010,38.42,0.021574107
22/07/2010,37.6,0.028322864
21/07/2010,36.55,-0.004912674
20/07/2010,36.73,0.013430379
19/07/2010,36.24,0.006366804
16/07/2010,36.01,-0.026039569
15/07/2010,36.96,0.008695707
14/07/2010,36.64,0.001365561
13/07/2010,36.59,0.030242283
12/07/2010,35.5,-0.005337841
09/07/2010,35.69,0.001682558
08/07/2010,35.63,0.025008408
07/07/2010,34.75,0.028606738
06/07/2010,33.77,0.006834078
02/07/2010,33.54,-0.00949562
01/07/2010,33.86,-0.014949714
30/06/2010,34.37,-0.006958567
29/06/2010,34.61,-0.044363822
28/06/2010,36.18,-0.006336982
25/06/2010,36.41,0.015778874
24/06/2010,35.84,-0.020983652
23/06/2010,36.6,0.00273598
22/06/2010,36.5,-0.018996501
21/06/2010,37.2,-0.001343184
18/06/2010,37.25,-0.005621752
17/06/2010,37.46,-0.001067236
16/06/2010,37.5,-0.002131061
