Date,Close,EMC
29/09/2011,21.33,0
28/09/2011,21.33,-0.011652427
27/09/2011,21.58,0.013059887
26/09/2011,21.3,0.032445594
23/09/2011,20.62,0.005348907
22/09/2011,20.51,-0.039670674
21/09/2011,21.34,-0.021785334
20/09/2011,21.81,-0.031146729
19/09/2011,22.5,-0.0114893
16/09/2011,22.76,0.00308031
15/09/2011,22.69,0.029519138
14/09/2011,22.03,0.007289326
13/09/2011,21.87,0.011034595
12/09/2011,21.63,0.015843761
09/09/2011,21.29,-0.021835943
08/09/2011,21.76,-0.016408755
07/09/2011,22.12,0.032624074
06/09/2011,21.41,-0.000933707
02/09/2011,21.43,-0.031238185
01/09/2011,22.11,-0.021477336
31/08/2011,22.59,0.026919526
30/08/2011,21.99,-0.010854923
29/08/2011,22.23,0.028286557
26/08/2011,21.61,0.02388313
25/08/2011,21.1,-0.015518769
24/08/2011,21.43,0.010319041
23/08/2011,21.21,0.027726441
22/08/2011,20.63,0.017111148
19/08/2011,20.28,-0.015170342
18/08/2011,20.59,-0.089154134
17/08/2011,22.51,-0.021534561
16/08/2011,23,-0.014674411
15/08/2011,23.34,0.008605905
12/08/2011,23.14,0.020961466
11/08/2011,22.66,0.048371011
10/08/2011,21.59,-0.043948182
09/08/2011,22.56,0.025135973
08/08/2011,22,-0.044016885
05/08/2011,22.99,-0.023641763
04/08/2011,23.54,-0.061773444
03/08/2011,25.04,-0.00159617
02/08/2011,25.08,-0.039864599
01/08/2011,26.1,0.000766577
29/07/2011,26.08,-0.019366468
28/07/2011,26.59,-0.000376011
27/07/2011,26.6,-0.031454952
26/07/2011,27.45,0
25/07/2011,27.45,-0.011229968
22/07/2011,27.76,0.015245304
21/07/2011,27.34,-0.001096692
20/07/2011,27.37,-0.000365297
19/07/2011,27.38,0.027398974
18/07/2011,26.64,-0.006361107
15/07/2011,26.81,-0.000372926
14/07/2011,26.82,-0.006688988
13/07/2011,27,0.002595959
12/07/2011,26.93,-0.010343646
11/07/2011,27.21,-0.023966289
08/07/2011,27.87,-0.00071736
07/07/2011,27.89,0.001794366
06/07/2011,27.84,-0.00143575
05/07/2011,27.88,0.00179501
01/07/2011,27.83,0.01011204
30/06/2011,27.55,0.016468808
29/06/2011,27.1,0.008523305
28/06/2011,26.87,0.01386569
27/06/2011,26.5,0.032991101
24/06/2011,25.64,-0.036381573
23/06/2011,26.59,0.00565719
22/06/2011,26.44,-0.007911136
21/06/2011,26.65,0.023539432
20/06/2011,26.03,0.007713112
17/06/2011,25.83,-0.008481161
16/06/2011,26.05,-0.016749535
15/06/2011,26.49,-0.022397353
14/06/2011,27.09,0.031117787
13/06/2011,26.26,-0.002282238
10/06/2011,26.32,-0.022168858
09/06/2011,26.91,-0.002968462
08/06/2011,26.99,-0.002590196
07/06/2011,27.06,-0.009562412
06/06/2011,27.32,-0.022082345
03/06/2011,27.93,-0.015278322
02/06/2011,28.36,0.010634627
01/06/2011,28.06,-0.014505827
31/05/2011,28.47,0.001405976
27/05/2011,28.43,0.007768401
26/05/2011,28.21,0.022223137
25/05/2011,27.59,0.009834354
24/05/2011,27.32,-0.004382768
23/05/2011,27.44,-0.022343272
20/05/2011,28.06,0.002497771
19/05/2011,27.99,0.008251168
18/05/2011,27.76,0.012323462
17/05/2011,27.42,0
16/05/2011,27.42,-0.006543099
13/05/2011,27.6,-0.004699087
12/05/2011,27.73,0.015628157
11/05/2011,27.3,-0.005115101
10/05/2011,27.44,0.010624756
09/05/2011,27.15,0.001105583
06/05/2011,27.12,0.004434597
05/05/2011,27,-0.013610657
04/05/2011,27.37,-0.02239978
03/05/2011,27.99,-0.004278081
02/05/2011,28.11,-0.008148849
29/04/2011,28.34,0.000705965
28/04/2011,28.32,0.006020914
27/04/2011,28.15,-0.006020914
26/04/2011,28.32,0.001059884
25/04/2011,28.29,-0.005639775
21/04/2011,28.45,0.017373243
20/04/2011,27.96,0.045362569
19/04/2011,26.72,0.006382601
18/04/2011,26.55,-0.013468217
15/04/2011,26.91,0.010459565
14/04/2011,26.63,-0.002250564
13/04/2011,26.69,0.031978362
12/04/2011,25.85,-0.020295546
11/04/2011,26.38,0.009522068
08/04/2011,26.13,-0.003819714
07/04/2011,26.23,0.005351695
06/04/2011,26.09,0.0061515
05/04/2011,25.93,-0.003464874
04/04/2011,26.02,-0.020164275
01/04/2011,26.55,-0.000376577
31/03/2011,26.56,-0.013834582
30/03/2011,26.93,-0.012912926
29/03/2011,27.28,0.00293686
28/03/2011,27.2,-0.004768027
25/03/2011,27.33,0.010297995
24/03/2011,27.05,0.021297274
23/03/2011,26.48,0.004542021
22/03/2011,26.36,-0.008311344
21/03/2011,26.58,0.036395513
18/03/2011,25.63,0.002734911
17/03/2011,25.56,0.009829055
16/03/2011,25.31,-0.026512274
15/03/2011,25.99,-0.008429169
14/03/2011,26.21,-0.014394188
11/03/2011,26.59,0.015921489
10/03/2011,26.17,-0.022294519
09/03/2011,26.76,-0.004102187
08/03/2011,26.87,0.002981739
07/03/2011,26.79,-0.019590351
04/03/2011,27.32,-0.001097494
03/03/2011,27.35,0.024427565
02/03/2011,26.69,0.00412991
01/03/2011,26.58,-0.0234255
28/02/2011,27.21,0.011458266
25/02/2011,26.9,0.013096539
24/02/2011,26.55,0.008320774
23/02/2011,26.33,-0.00945008
22/02/2011,26.58,-0.022322355
18/02/2011,27.18,-0.001470589
17/02/2011,27.22,0.003680534
16/02/2011,27.12,0.007773498
15/02/2011,26.91,-0.013289232
14/02/2011,27.27,0.008469946
11/02/2011,27.04,-0.005532007
10/02/2011,27.19,0.004053811
09/02/2011,27.08,0.034563921
08/02/2011,26.16,0.006134989
07/02/2011,26,0.011994727
04/02/2011,25.69,0.007815593
03/02/2011,25.49,0.000784929
02/02/2011,25.47,0.009071251
01/02/2011,25.24,0.013963921
31/01/2011,24.89,0.016609659
28/01/2011,24.48,-0.019418086
27/01/2011,24.96,0.009257462
26/01/2011,24.73,0.013843869
25/01/2011,24.39,0.023227921
24/01/2011,23.83,-0.006274858
21/01/2011,23.98,0.005855307
20/01/2011,23.84,-0.016639319
19/01/2011,24.24,-0.019203859
18/01/2011,24.71,0.006903581
14/01/2011,24.54,0.02308429
13/01/2011,23.98,0.022349655
12/01/2011,23.45,-0.012290894
11/01/2011,23.74,0.000842815
10/01/2011,23.72,0.010595564
07/01/2011,23.47,-0.008485414
06/01/2011,23.67,0.010191171
05/01/2011,23.43,0.014184635
04/01/2011,23.1,-0.000432807
03/01/2011,23.11,0.009128514
31/12/2010,22.9,0
30/12/2010,22.9,-0.001309186
29/12/2010,22.93,-0.003048119
28/12/2010,23,-0.003905407
27/12/2010,23.09,0.00303622
23/12/2010,23.02,0.005663269
22/12/2010,22.89,-0.001745963
21/12/2010,22.93,0.005247061
20/12/2010,22.81,-0.006554535
17/12/2010,22.96,0.010067934
16/12/2010,22.73,0.008394129
15/12/2010,22.54,-0.005309747
14/12/2010,22.66,0.00753049
13/12/2010,22.49,0.010728757
10/12/2010,22.25,0.006312014
