Date,Close,PEG
01/06/2010,30.28,-0.011492492
28/05/2010,30.63,0.000979912
27/05/2010,30.6,0.023476033
26/05/2010,29.89,-0.005338685
25/05/2010,30.05,-0.002658692
24/05/2010,30.13,-0.004305355
21/05/2010,30.26,-0.007572053
20/05/2010,30.49,-0.03036409
19/05/2010,31.43,-0.004444452
18/05/2010,31.57,-0.009457826
17/05/2010,31.87,0.001884423
14/05/2010,31.81,-0.009075324
13/05/2010,32.1,-0.001556421
12/05/2010,32.15,0.021060027
11/05/2010,31.48,0.001907791
10/05/2010,31.42,0.023181978
07/05/2010,30.7,-0.00972455
06/05/2010,31,-0.028305277
05/05/2010,31.89,-0.00811997
04/05/2010,32.15,-0.019101012
03/05/2010,32.77,0.01972329
30/04/2010,32.13,0.009066812
29/04/2010,31.84,0.012006463
28/04/2010,31.46,0.012474174
27/04/2010,31.07,-0.010246647
26/04/2010,31.39,-0.005084218
23/04/2010,31.55,0.015330866
22/04/2010,31.07,0.007754482
21/04/2010,30.83,0.00129828
20/04/2010,30.79,0.017363254
19/04/2010,30.26,0.000330524
16/04/2010,30.25,-0.01476647
15/04/2010,30.7,-0.01679626
14/04/2010,31.22,0.011922165
13/04/2010,30.85,-0.005817728
12/04/2010,31.03,0.01101761
09/04/2010,30.69,0.006866138
08/04/2010,30.48,-0.006540246
07/04/2010,30.68,-0.013596843
06/04/2010,31.1,0.009043989
05/04/2010,30.82,0.022974427
01/04/2010,30.12,0.020121403
31/03/2010,29.52,0.00237409
30/03/2010,29.45,-0.001357313
29/03/2010,29.49,0.012969465
26/03/2010,29.11,-0.008210789
25/03/2010,29.35,-0.024900344
24/03/2010,30.09,-0.014516916
23/03/2010,30.53,-0.001963351
22/03/2010,30.59,-0.010730066
19/03/2010,30.92,-0.002261348
18/03/2010,30.99,0.000968523
17/03/2010,30.96,-0.005475936
16/03/2010,31.13,0.009035234
15/03/2010,30.85,0.009117614
12/03/2010,30.57,-0.003265842
11/03/2010,30.67,0.003920293
10/03/2010,30.55,0
09/03/2010,30.55,-0.005223649
08/03/2010,30.71,-0.01582976
