Date,Close,PNC
28/03/2011,61.47,-0.004868559
25/03/2011,61.77,0.005845121
24/03/2011,61.41,0.002282362
23/03/2011,61.27,-0.002607988
22/03/2011,61.43,-0.014063111
21/03/2011,62.3,-0.007356502
18/03/2011,62.76,0.012022266
17/03/2011,62.01,0.020363985
16/03/2011,60.76,-0.022297286
15/03/2011,62.13,-0.006897132
14/03/2011,62.56,-0.005579037
11/03/2011,62.91,0.011189375
10/03/2011,62.21,-0.014205011
09/03/2011,63.1,-0.004269794
08/03/2011,63.37,0.043046865
07/03/2011,60.7,-0.004110158
04/03/2011,60.95,0
03/03/2011,60.95,0.015875974
02/03/2011,59.99,-0.005983066
01/03/2011,60.35,-0.022122983
28/02/2011,61.7,-0.002913095
25/02/2011,61.88,0.011540152
24/02/2011,61.17,-0.006355436
23/02/2011,61.56,-0.004861458
22/02/2011,61.86,-0.033853054
18/02/2011,63.99,-0.000624902
17/02/2011,64.03,-0.013341805
16/02/2011,64.89,0.004324331
15/02/2011,64.61,-0.005094569
14/02/2011,64.94,0.006953594
11/02/2011,64.49,0.009973591
10/02/2011,63.85,-0.005622379
09/02/2011,64.21,-0.001556178
08/02/2011,64.31,0.024556562
07/02/2011,62.75,0.012024193
04/02/2011,62,-0.001772622
03/02/2011,62.11,-0.003535844
02/02/2011,62.33,0.000641952
01/02/2011,62.29,0.037456337
31/01/2011,60,-0.001831655
28/01/2011,60.11,-0.025621372
27/01/2011,61.67,0.008140716
26/01/2011,61.17,0.00475216
25/01/2011,60.88,0.006591982
24/01/2011,60.48,-0.005770356
21/01/2011,60.83,-0.002790776
20/01/2011,61,-0.013191299
19/01/2011,61.81,-0.022871849
18/01/2011,63.24,-0.015377676
14/01/2011,64.22,0.049311945
13/01/2011,61.13,-0.017352256
12/01/2011,62.2,0.007746972
11/01/2011,61.72,0.001621534
10/01/2011,61.62,-0.005179681
07/01/2011,61.94,-0.005474172
06/01/2011,62.28,0.007736983
05/01/2011,61.8,0.019113544
04/01/2011,60.63,-0.013596737
03/01/2011,61.46,0.012113424
31/12/2010,60.72,-0.00263158
30/12/2010,60.88,-0.005079064
29/12/2010,61.19,0.006558476
28/12/2010,60.79,0.006436197
27/12/2010,60.4,0.004812888
23/12/2010,60.11,-0.008448655
22/12/2010,60.62,0.008448655
21/12/2010,60.11,0.024929706
20/12/2010,58.63,0.002219757
17/12/2010,58.5,0.001368457
16/12/2010,58.42,-0.002393573
15/12/2010,58.56,-0.031102784
14/12/2010,60.41,0.006810092
13/12/2010,60,-0.01110478
10/12/2010,60.67,-0.014725397
09/12/2010,61.57,0.022834668
08/12/2010,60.18,0.039313772
07/12/2010,57.86,0.009551171
06/12/2010,57.31,0.000872829
03/12/2010,57.26,0.01212349
02/12/2010,56.57,0.025059482
01/12/2010,55.17,0.024216924
30/11/2010,53.85,-0.00869008
29/11/2010,54.32,0.00368868
26/11/2010,54.12,-0.009928377
24/11/2010,54.66,0.000182966
23/11/2010,54.65,-0.01687421
22/11/2010,55.58,-0.012693475
19/11/2010,56.29,0.001066477
18/11/2010,56.23,0.014870829
17/11/2010,55.4,-0.003783447
16/11/2010,55.61,-0.023986226
15/11/2010,56.96,0.005633818
12/11/2010,56.64,-0.020446322
11/11/2010,57.81,0.008512168
10/11/2010,57.32,0.018843562
