Date,Close,CI
10/04/2012,47.39,-0.010913015
09/04/2012,47.91,-0.022291945
05/04/2012,48.99,0.003885883
04/04/2012,48.8,-0.002864745
03/04/2012,48.94,-0.009962469
02/04/2012,49.43,0.00364816
30/03/2012,49.25,0.005701502
29/03/2012,48.97,0.03957201
28/03/2012,47.07,-0.00191022
27/03/2012,47.16,0.004036976
26/03/2012,46.97,0.024352028
23/03/2012,45.84,0.006126934
22/03/2012,45.56,-0.012216557
21/03/2012,46.12,-0.007775417
20/03/2012,46.48,-0.013675427
19/03/2012,47.12,0.006387077
16/03/2012,46.82,0.000213607
15/03/2012,46.81,0.002352691
14/03/2012,46.7,0.014233581
13/03/2012,46.04,0.027748973
12/03/2012,44.78,-0.0088929
09/03/2012,45.18,0.023741317
08/03/2012,44.12,0.012314865
07/03/2012,43.58,0.006907695
06/03/2012,43.28,-0.026674327
05/03/2012,44.45,0.005640173
02/03/2012,44.2,-0.007662873
01/03/2012,44.54,0.009701148
29/02/2012,44.11,-0.00520069
28/02/2012,44.34,-0.006743114
27/02/2012,44.64,-0.010030174
24/02/2012,45.09,0.005782934
23/02/2012,44.83,-0.006891213
22/02/2012,45.14,-0.005082322
21/02/2012,45.37,0.009745371
17/02/2012,44.93,0.005132221
16/02/2012,44.7,0.012833678
15/02/2012,44.13,0.003177488
14/02/2012,43.99,0.01858491
13/02/2012,43.18,-0.008302631
10/02/2012,43.54,0
09/02/2012,43.54,0.004373353
08/02/2012,43.35,0.00254071
07/02/2012,43.24,0.007428075
06/02/2012,42.92,-0.014571786
03/02/2012,43.55,-0.01323012
02/02/2012,44.13,-0.034520742
01/02/2012,45.68,0.018783007
31/01/2012,44.83,0.007388369
30/01/2012,44.5,-0.015165322
27/01/2012,45.18,0.024194729
26/01/2012,44.1,-0.037169072
25/01/2012,45.77,0.008337038
24/01/2012,45.39,-0.010737476
23/01/2012,45.88,-0.00565096
20/01/2012,46.14,-0.00302965
19/01/2012,46.28,-0.014160288
18/01/2012,46.94,0.00576863
17/01/2012,46.67,0.022974569
13/01/2012,45.61,0.005055511
12/01/2012,45.38,-0.008338868
11/01/2012,45.76,0.00196872
10/01/2012,45.67,0.042264535
09/01/2012,43.78,0.00389061
06/01/2012,43.61,0.009214532
05/01/2012,43.21,0
04/01/2012,43.21,-0.000462749
03/01/2012,43.23,0.02886508
30/12/2011,42,-0.006881033
29/12/2011,42.29,0.001893492
28/12/2011,42.21,-0.030793196
27/12/2011,43.53,0.009231545
23/12/2011,43.13,0.001159958
22/12/2011,43.08,0.020401692
21/12/2011,42.21,0.000948092
20/12/2011,42.17,0.031802246
