Date,Close,ED
02/05/2011,52.3,0.003447619
29/04/2011,52.12,0.00307456
28/04/2011,51.96,0.007728014
27/04/2011,51.56,0.009353147
26/04/2011,51.08,0.007664379
25/04/2011,50.69,0.000197297
21/04/2011,50.68,-0.000591774
20/04/2011,50.71,0.011104615
19/04/2011,50.15,-0.001593943
18/04/2011,50.23,-0.009510672
15/04/2011,50.71,0.012301742
14/04/2011,50.09,-0.000199621
13/04/2011,50.1,0.002598183
12/04/2011,49.97,-0.004990528
11/04/2011,50.22,-0.01344957
08/04/2011,50.9,-0.000785546
07/04/2011,50.94,-0.005481611
06/04/2011,51.22,0.005481611
05/04/2011,50.94,-0.001569243
04/04/2011,51.02,-0.000587832
01/04/2011,51.05,0.006485234
31/03/2011,50.72,0
30/03/2011,50.72,0.001973555
29/03/2011,50.62,0.009926625
28/03/2011,50.12,0.002197145
25/03/2011,50.01,0.001801261
24/03/2011,49.92,0.004215604
23/03/2011,49.71,-0.001608041
22/03/2011,49.79,-0.007204354
21/03/2011,50.15,0.012843845
18/03/2011,49.51,0.004453449
17/03/2011,49.29,0.003862186
16/03/2011,49.1,-0.012749338
15/03/2011,49.73,-0.003011748
14/03/2011,49.88,-0.007788357
11/03/2011,50.27,0.001592674
10/03/2011,50.19,-0.010504506
09/03/2011,50.72,0.00752032
08/03/2011,50.34,0.009982115
07/03/2011,49.84,0.002611754
04/03/2011,49.71,-0.004015263
03/03/2011,49.91,0.006633857
02/03/2011,49.58,0.000201715
01/03/2011,49.57,-0.008237113
28/02/2011,49.98,0.011470093
25/02/2011,49.41,0.011398454
24/02/2011,48.85,-0.007342476
23/02/2011,49.21,0.006523978
22/02/2011,48.89,-0.002655502
18/02/2011,49.02,0.002450982
17/02/2011,48.9,-0.006522648
16/02/2011,49.22,-0.006278502
15/02/2011,49.53,0.003843435
14/02/2011,49.34,-0.015285897
11/02/2011,50.1,0.000199621
10/02/2011,50.09,0.002999103
09/02/2011,49.94,0.006025325
