Date,Close,KMI
30/05/2012,33.67,0.005061794
29/05/2012,33.5,0.032769923
25/05/2012,32.42,0.009608008
24/05/2012,32.11,-0.032176822
23/05/2012,33.16,-0.019116472
22/05/2012,33.8,0.013103225
21/05/2012,33.36,0.026117488
18/05/2012,32.5,-0.015267472
17/05/2012,33,-0.007547206
16/05/2012,33.25,-0.00150263
15/05/2012,33.3,-0.007479466
14/05/2012,33.55,-0.0130295
11/05/2012,33.99,-0.00907899
10/05/2012,34.3,0.006434652
09/05/2012,34.08,-0.025779849
08/05/2012,34.97,-0.005134067
07/05/2012,35.15,-0.002840911
04/05/2012,35.25,-0.01408474
03/05/2012,35.75,-0.01719399
02/05/2012,36.37,-0.001373815
01/05/2012,36.42,0.014380779
30/04/2012,35.9,0.001672707
27/04/2012,35.84,0.00447428
26/04/2012,35.68,-0.006703936
25/04/2012,35.92,0.023378054
24/04/2012,35.09,-0.000569801
23/04/2012,35.11,-0.029467545
20/04/2012,36.16,-0.015640324
19/04/2012,36.73,-0.014058085
18/04/2012,37.25,0.000268492
17/04/2012,37.24,-0.012276642
16/04/2012,37.7,-0.018657748
13/04/2012,38.41,-0.002859745
12/04/2012,38.52,0.007557039
11/04/2012,38.23,0.003406266
10/04/2012,38.1,-0.033043791
09/04/2012,39.38,-0.011864332
05/04/2012,39.85,0.015935584
04/04/2012,39.22,-0.012919749
03/04/2012,39.73,0.015984103
02/04/2012,39.1,0.011575692
30/03/2012,38.65,-0.009271248
29/03/2012,39.01,-0.006133421
28/03/2012,39.25,0.02085286
27/03/2012,38.44,0.00182268
26/03/2012,38.37,-0.005976372
23/03/2012,38.6,0.032116474
22/03/2012,37.38,0.008327785
21/03/2012,37.07,0.008669792
20/03/2012,36.75,-0.01055633
19/03/2012,37.14,0.007838937
16/03/2012,36.85,0.016416237
15/03/2012,36.25,0.005532518
14/03/2012,36.05,-0.015414563
13/03/2012,36.61,-0.003544653
12/03/2012,36.74,-0.021008044
09/03/2012,37.52,0.021280264
08/03/2012,36.73,0.011776119
07/03/2012,36.3,0.026519349
06/03/2012,35.35,-0.024589113
05/03/2012,36.23,-0.001654716
02/03/2012,36.29,0.010247978
01/03/2012,35.92,0.019112442
29/02/2012,35.24,-0.000567376
28/02/2012,35.26,0.014281877
27/02/2012,34.76,0.04471333
24/02/2012,33.24,0.028067736
23/02/2012,32.32,0.002788538
22/02/2012,32.23,0.004976682
21/02/2012,32.07,-0.004976682
17/02/2012,32.23,-0.003097896
16/02/2012,32.33,0.005583141
15/02/2012,32.15,-0.004964329
14/02/2012,32.31,-0.008014839
13/02/2012,32.57,0.006777598
10/02/2012,32.35,-0.008924509
09/02/2012,32.64,0.017617516
08/02/2012,32.07,0.007197653
07/02/2012,31.84,-0.013104712
06/02/2012,32.26,0.0105953
03/02/2012,31.92,-0.008112369
02/02/2012,32.18,-0.00465045
01/02/2012,32.33,-0.004320994
31/01/2012,32.47,0.007108668
30/01/2012,32.24,-0.004333031
27/01/2012,32.38,-0.014106336
26/01/2012,32.84,-0.011805798
25/01/2012,33.23,0.016689812
24/01/2012,32.68,-0.003970077
23/01/2012,32.81,0.001219884
20/01/2012,32.77,-0.007902777
19/01/2012,33.03,0.006073508
18/01/2012,32.83,-0.007283795
17/01/2012,33.07,0.006370414
13/01/2012,32.86,-0.006672758
12/01/2012,33.08,-0.009327584
11/01/2012,33.39,0.006309169
10/01/2012,33.18,0.011213938
09/01/2012,32.81,-0.002435313
06/01/2012,32.89,0.007323804
05/01/2012,32.65,0.004912506
04/01/2012,32.49,0
03/01/2012,32.49,0.009898008
30/12/2011,32.17,0.019143845
29/12/2011,31.56,0.008591938
28/12/2011,31.29,-0.014279157
27/12/2011,31.74,0.011725693
23/12/2011,31.37,0.013479023
22/12/2011,30.95,0.007784665
21/12/2011,30.71,0.018735141
20/12/2011,30.14,0.011680426
19/12/2011,29.79,-0.001677009
16/12/2011,29.84,0.034433264
15/12/2011,28.83,-0.008977961
14/12/2011,29.09,-0.003774237
13/12/2011,29.2,-0.009882514
12/12/2011,29.49,-0.003723139
09/12/2011,29.6,0.001690617
08/12/2011,29.55,-0.029016543
07/12/2011,30.42,-0.01436056
06/12/2011,30.86,-0.001618909
05/12/2011,30.91,-0.002907448
02/12/2011,31,0.024160496
01/12/2011,30.26,0.025436445
30/11/2011,29.5,-0.001355014
29/11/2011,29.54,0.02536989
28/11/2011,28.8,-0.006920443
25/11/2011,29,0.034377289
23/11/2011,28.02,-0.020837766
22/11/2011,28.61,0.000699301
21/11/2011,28.59,0.011963549
18/11/2011,28.25,-0.002474811
17/11/2011,28.32,0.019611968
16/11/2011,27.77,-0.006818616
15/11/2011,27.96,0.008260058
14/11/2011,27.73,0.005786635
11/11/2011,27.57,0.00509092
10/11/2011,27.43,0.014689945
09/11/2011,27.03,-0.040599994
08/11/2011,28.15,0.006772437
07/11/2011,27.96,-0.012440182
04/11/2011,28.31,0.004957517
03/11/2011,28.17,0.003912507
02/11/2011,28.06,0.008589888
01/11/2011,27.82,-0.027651531
31/10/2011,28.6,-0.017331456
28/10/2011,29.1,-0.01161612
27/10/2011,29.44,-0.007445043
26/10/2011,29.66,-0.015058006
25/10/2011,30.11,0.00432685
24/10/2011,29.98,0.025677086
21/10/2011,29.22,0.034468164
20/10/2011,28.23,0.02329437
19/10/2011,27.58,-0.017254202
18/10/2011,28.06,-0.00462223
17/10/2011,28.19,0.047212835
14/10/2011,26.89,-0.001115034
13/10/2011,26.92,0.000743218
12/10/2011,26.9,0.001860466
11/10/2011,26.85,-0.000744602
10/10/2011,26.87,0.019921726
07/10/2011,26.34,-0.013574869
06/10/2011,26.7,0.00412836
05/10/2011,26.59,0.020517437
04/10/2011,26.05,0.022123937
03/10/2011,25.48,-0.015962963
30/09/2011,25.89,-0.016472313
29/09/2011,26.32,-0.011333707
28/09/2011,26.62,-0.015284547
27/09/2011,27.03,0.025858664
26/09/2011,26.34,0.031626238
23/09/2011,25.52,-0.006639353
22/09/2011,25.69,-0.032927937
21/09/2011,26.55,-0.005633818
20/09/2011,26.7,0.000749344
19/09/2011,26.68,0.045235769
16/09/2011,25.5,-0.001567398
15/09/2011,25.54,0.011419695
14/09/2011,25.25,0.011151051
13/09/2011,24.97,0.000400561
12/09/2011,24.96,0.004416791
09/09/2011,24.85,-0.021891421
08/09/2011,25.4,-0.001573564
07/09/2011,25.44,0.002755365
06/09/2011,25.37,0.007120283
02/09/2011,25.19,-0.020821809
01/09/2011,25.72,-0.005041702
31/08/2011,25.85,0.018743227
30/08/2011,25.37,0.002367799
29/08/2011,25.31,0.021162698
26/08/2011,24.78,0.01340666
25/08/2011,24.45,0
24/08/2011,24.45,-0.003674223
23/08/2011,24.54,0.032300945
22/08/2011,23.76,-0.002522069
19/08/2011,23.82,-0.041124216
18/08/2011,24.82,-0.057158414
17/08/2011,26.28,-0.008336539
16/08/2011,26.5,-0.021650715
15/08/2011,27.08,0.011513591
12/08/2011,26.77,-0.02508431
11/08/2011,27.45,0.0523484
10/08/2011,26.05,0.005002897
09/08/2011,25.92,0.091229013
08/08/2011,23.66,-0.091229013
05/08/2011,25.92,-0.020997145
04/08/2011,26.47,-0.046142158
03/08/2011,27.72,-0.004678792
02/08/2011,27.85,-0.013552276
01/08/2011,28.23,0
29/07/2011,28.23,0.002482711
28/07/2011,28.16,-0.000709975
27/07/2011,28.18,0.021884281
26/07/2011,27.57,0.00254222
25/07/2011,27.5,-0.030793697
22/07/2011,28.36,-0.005275201
21/07/2011,28.51,0.000350816
20/07/2011,28.5,0.005277057
19/07/2011,28.35,0.005659725
18/07/2011,28.19,-0.014089701
15/07/2011,28.59,0.019781641
14/07/2011,28.03,-0.00569194
13/07/2011,28.19,0.000709723
12/07/2011,28.17,-0.00672212
11/07/2011,28.36,-0.019553696
08/07/2011,28.92,-0.00207254
07/07/2011,28.98,-0.004475821
06/07/2011,29.11,-0.005139638
05/07/2011,29.26,-0.000341705
01/07/2011,29.27,0.018621228
30/06/2011,28.73,0.011552728
29/06/2011,28.4,0.003527341
28/06/2011,28.3,0.001414427
27/06/2011,28.26,-0.011959341
24/06/2011,28.6,-0.017331456
23/06/2011,29.1,-0.017711635
22/06/2011,29.62,0
21/06/2011,29.62,0.000337667
20/06/2011,29.61,-0.003034904
17/06/2011,29.7,0.016635929
16/06/2011,29.21,-0.005122087
15/06/2011,29.36,-0.00475706
14/06/2011,29.5,0.001696353
13/06/2011,29.45,-0.002712786
10/06/2011,29.53,-0.005403593
09/06/2011,29.69,-0.001346348
08/06/2011,29.73,-0.00201613
07/06/2011,29.79,0.009104767
06/06/2011,29.52,-0.007761132
03/06/2011,29.75,0.012514961
02/06/2011,29.38,0.013018341
01/06/2011,29,-0.009950331
31/05/2011,29.29,0.003762618
27/05/2011,29.18,0.016934913
26/05/2011,28.69,-0.011436617
25/05/2011,29.02,-0.001377411
24/05/2011,29.06,0.025441344
23/05/2011,28.33,-0.005982773
20/05/2011,28.5,0.007395702
19/05/2011,28.29,0.026142939
18/05/2011,27.56,0.002179441
17/05/2011,27.5,-0.001453489
16/05/2011,27.54,-0.014061887
13/05/2011,27.93,-0.018446781
12/05/2011,28.45,0.004933061
11/05/2011,28.31,-0.007390496
10/05/2011,28.52,0.00809721
09/05/2011,28.29,0.010303875
06/05/2011,28,0.000714541
05/05/2011,27.98,0.000715052
04/05/2011,27.96,-0.008192388
03/05/2011,28.19,-0.022102285
02/05/2011,28.82,0.008362418
29/04/2011,28.58,-0.008709339
28/04/2011,28.83,-0.001040042
27/04/2011,28.86,-0.00896867
26/04/2011,29.12,-0.00820798
25/04/2011,29.36,-0.009154158
21/04/2011,29.63,0.006093451
20/04/2011,29.45,0.023013209
19/04/2011,28.78,0.009075106
18/04/2011,28.52,-0.012543718
15/04/2011,28.88,-0.008275909
14/04/2011,29.12,0.010008712
13/04/2011,28.83,0.003474639
12/04/2011,28.73,-0.017937701
11/04/2011,29.25,-0.002731309
08/04/2011,29.33,0.003757477
07/04/2011,29.22,-0.008180005
