Date,Close,OXY
17/03/2010,83.21,0.01014624
16/03/2010,82.37,0.016031672
15/03/2010,81.06,-0.0095765
12/03/2010,81.84,-0.000244349
11/03/2010,81.86,-0.001342856
10/03/2010,81.97,0.005873013
09/03/2010,81.49,0
08/03/2010,81.49,-0.005506959
05/03/2010,81.94,0.008456451
04/03/2010,81.25,0.002711365
03/03/2010,81.03,-0.002095791
02/03/2010,81.2,0.005557285
01/03/2010,80.75,0.011208087
26/02/2010,79.85,0.010322347
25/02/2010,79.03,-0.006558228
24/02/2010,79.55,0.006811328
23/02/2010,79.01,-0.0125772
22/02/2010,80.01,-0.018574085
19/02/2010,81.51,0.006400022
18/02/2010,80.99,0.000617551
17/02/2010,80.94,-0.002960772
16/02/2010,81.18,0.017145407
12/02/2010,79.8,-0.008236662
11/02/2010,80.46,0.026063798
10/02/2010,78.39,0.006142054
09/02/2010,77.91,0.020881376
08/02/2010,76.3,-0.00535914
05/02/2010,76.71,0.003525959
04/02/2010,76.44,-0.047144196
03/02/2010,80.13,-0.008079094
02/02/2010,80.78,0.011830036
01/02/2010,79.83,0.018841045
29/01/2010,78.34,0.010780392
28/01/2010,77.5,0.013902647
27/01/2010,76.43,-0.003004771
26/01/2010,76.66,-0.01283149
25/01/2010,77.65,0.020163285
22/01/2010,76.1,0.001183354
21/01/2010,76.01,-0.028532606
20/01/2010,78.21,-0.014596946
19/01/2010,79.36,0.005559782
15/01/2010,78.92,-0.016712081
14/01/2010,80.25,0.007755856
13/01/2010,79.63,-0.006633731
12/01/2010,80.16,-0.034333927
11/01/2010,82.96,-0.009119334
08/01/2010,83.72,0.010204783
07/01/2010,82.87,-0.007453749
06/01/2010,83.49,0.011928571
05/01/2010,82.5,-0.007246409
04/01/2010,83.1,0.021283868
31/12/2009,81.35,-0.012460459
30/12/2009,82.37,0.003283276
29/12/2009,82.1,-0.004981482
28/12/2009,82.51,0.000484907
24/12/2009,82.47,0.000121264
23/12/2009,82.46,0.012815212
22/12/2009,81.41,0.009131357
