Date,Close,WFM
04/02/2011,53,0.025608126
03/02/2011,51.66,-0.001160766
02/02/2011,51.72,-0.022747803
01/02/2011,52.91,0.022941171
31/01/2011,51.71,0.024866675
28/01/2011,50.44,-0.029689681
27/01/2011,51.96,0.000192474
26/01/2011,51.95,-0.010150427
25/01/2011,52.48,0.006499736
24/01/2011,52.14,0.005963276
21/01/2011,51.83,-0.008262128
20/01/2011,52.26,0.000191369
19/01/2011,52.25,-0.017642495
18/01/2011,53.18,0.002824595
14/01/2011,53.03,0.013670234
13/01/2011,52.31,0.044964572
12/01/2011,50.01,0.009846357
11/01/2011,49.52,0.01587658
10/01/2011,48.74,0.002876517
07/01/2011,48.6,0.010341354
06/01/2011,48.1,-0.020780503
05/01/2011,49.11,0.001426388
04/01/2011,49.04,-0.034275326
03/01/2011,50.75,0.00315769
31/12/2010,50.59,0
30/12/2010,50.59,0.011131103
29/12/2010,50.03,0.006215559
28/12/2010,49.72,-0.01556607
27/12/2010,50.5,-0.004938282
23/12/2010,50.75,-0.006872879
22/12/2010,51.1,-0.004880439
21/12/2010,51.35,0.01471336
20/12/2010,50.6,0.002770633
17/12/2010,50.46,0.015377238
16/12/2010,49.69,0.003831036
15/12/2010,49.5,0.014652277
14/12/2010,48.78,-0.003683245
13/12/2010,48.96,-0.010766991
10/12/2010,49.49,0.014655259
09/12/2010,48.77,-0.002662027
08/12/2010,48.9,0.003893049
07/12/2010,48.71,-0.000205276
06/12/2010,48.72,-0.003074088
03/12/2010,48.87,-0.00347258
02/12/2010,49.04,0.024356209
01/12/2010,47.86,0.013462551
30/11/2010,47.22,0.007013099
29/11/2010,46.89,-0.002555912
26/11/2010,47.01,-0.001912656
24/11/2010,47.1,0.011531198
23/11/2010,46.56,-0.000644122
22/11/2010,46.59,0.019068833
19/11/2010,45.71,-0.007193492
18/11/2010,46.04,0.008726059
17/11/2010,45.64,-0.009160369
16/11/2010,46.06,-0.013156666
15/11/2010,46.67,-0.004062873
12/11/2010,46.86,-0.008076558
11/11/2010,47.24,0.002755699
10/11/2010,47.11,0.013248057
09/11/2010,46.49,0.006690432
08/11/2010,46.18,0.015054282
05/11/2010,45.49,-0.038383323
04/11/2010,47.27,0.140597917
03/11/2010,41.07,0.015211284
02/11/2010,40.45,0.014944238
01/11/2010,39.85,0.002512564
29/10/2010,39.75,0.005802968
28/10/2010,39.52,-0.004544315
27/10/2010,39.7,-0.000755382
26/10/2010,39.73,-0.003266745
25/10/2010,39.86,-0.000752351
22/10/2010,39.89,0.04067577
21/10/2010,38.3,-0.001826008
20/10/2010,38.37,0.018677381
19/10/2010,37.66,-0.020760173
18/10/2010,38.45,0.0039088
15/10/2010,38.3,0.032911675
14/10/2010,37.06,0.008127923
13/10/2010,36.76,0.024787829
12/10/2010,35.86,0.025990163
11/10/2010,34.94,0.010646051
08/10/2010,34.57,-0.018627849
07/10/2010,35.22,-0.026892377
06/10/2010,36.18,-0.011268499
05/10/2010,36.59,0.000273336
04/10/2010,36.58,-0.013306374
01/10/2010,37.07,-0.001078458
30/09/2010,37.11,-0.008318846
29/09/2010,37.42,-0.002935292
28/09/2010,37.53,0.027828353
27/09/2010,36.5,-0.015495757
24/09/2010,37.07,0.018239243
23/09/2010,36.4,-0.008752791
22/09/2010,36.72,-0.015135424
21/09/2010,37.28,-0.023854828
20/09/2010,38.18,0.028964427
17/09/2010,37.09,0.020428329
16/09/2010,36.34,0.011346462
15/09/2010,35.93,0.012039905
