Date,Close,ALTR
15/12/2010,36.49,-0.022223137
14/12/2010,37.31,0.01077887
13/12/2010,36.91,-0.007288465
10/12/2010,37.18,-0.009636049
09/12/2010,37.54,-0.011915936
08/12/2010,37.99,0.019939515
07/12/2010,37.24,-0.004287252
06/12/2010,37.4,-0.008254607
03/12/2010,37.71,0.010128018
02/12/2010,37.33,0.010773064
01/12/2010,36.93,0.051108039
30/11/2010,35.09,-0.010771079
29/11/2010,35.47,-0.000563698
26/11/2010,35.49,-0.014267972
24/11/2010,36,0.04691692
23/11/2010,34.35,0.010829902
22/11/2010,33.98,0.016318416
19/11/2010,33.43,0.014765976
18/11/2010,32.94,0.013755375
17/11/2010,32.49,0.009587208
16/11/2010,32.18,-0.003102702
15/11/2010,32.28,-0.006792246
12/11/2010,32.5,-0.012232568
11/11/2010,32.9,-0.027875325
10/11/2010,33.83,0.009802544
09/11/2010,33.5,-0.009211178
08/11/2010,33.81,0.01670185
05/11/2010,33.25,0.006335818
04/11/2010,33.04,0.035112939
03/11/2010,31.9,0.009448889
02/11/2010,31.6,0.012418564
01/11/2010,31.21,-0.000960769
29/10/2010,31.24,0.015809331
28/10/2010,30.75,-0.009386701
27/10/2010,31.04,0.023139374
26/10/2010,30.33,0.00297177
25/10/2010,30.24,0.02613214
22/10/2010,29.46,0.01092161
21/10/2010,29.14,0.006541597
20/10/2010,28.95,-0.018820059
19/10/2010,29.5,-0.004734537
18/10/2010,29.64,-0.006054509
15/10/2010,29.82,0.01045012
14/10/2010,29.51,-0.005070148
13/10/2010,29.66,-0.014393554
12/10/2010,30.09,0.019802627
11/10/2010,29.5,0.005438491
08/10/2010,29.34,-0.005777416
07/10/2010,29.51,0.007141673
06/10/2010,29.3,-0.022942977
05/10/2010,29.98,0.007365283
04/10/2010,29.76,-0.011027681
01/10/2010,30.09,-0.002323652
30/09/2010,30.16,-0.015136847
29/09/2010,30.62,0.008527438
28/09/2010,30.36,0.043763294
27/09/2010,29.06,-0.0017191
24/09/2010,29.11,0.057259456
23/09/2010,27.49,0.008768781
22/09/2010,27.25,-0.041335624
21/09/2010,28.4,-0.013986242
20/09/2010,28.8,0.003478264
