Date,Close,URBN
30/09/2010,31.44,-0.016404153
29/09/2010,31.96,-0.08714174
28/09/2010,34.87,0.01444277
27/09/2010,34.37,-0.008690669
24/09/2010,34.67,0.036421059
23/09/2010,33.43,0.0008978
22/09/2010,33.4,-0.006267742
21/09/2010,33.61,-0.015353121
20/09/2010,34.13,0.000586166
17/09/2010,34.11,-0.020601338
16/09/2010,34.82,-0.004298617
15/09/2010,34.97,0.006023251
14/09/2010,34.76,0.030672771
13/09/2010,33.71,0.015847244
10/09/2010,33.18,-0.004210533
09/09/2010,33.32,-0.00060006
08/09/2010,33.34,0.032000293
07/09/2010,32.29,-0.024775698
03/09/2010,33.1,0.015834679
02/09/2010,32.58,0.043601073
01/09/2010,31.19,0.02828997
31/08/2010,30.32,-0.012455094
30/08/2010,30.7,-0.011336154
27/08/2010,31.05,-0.015023457
26/08/2010,31.52,-0.025682589
25/08/2010,32.34,0.018412129
24/08/2010,31.75,-0.02795213
23/08/2010,32.65,-0.009146405
20/08/2010,32.95,-0.006353069
19/08/2010,33.16,-0.00810937
18/08/2010,33.43,0.014462439
17/08/2010,32.95,0.049458065
16/08/2010,31.36,0.014777012
13/08/2010,30.9,-0.022717342
12/08/2010,31.61,-0.008505328
11/08/2010,31.88,-0.031189806
10/08/2010,32.89,-0.020761991
09/08/2010,33.58,0.0140953
06/08/2010,33.11,-0.003316753
05/08/2010,33.22,0.030875141
04/08/2010,32.21,0.020386467
03/08/2010,31.56,-0.025959237
02/08/2010,32.39,0.007126289
30/07/2010,32.16,0.004362737
29/07/2010,32.02,-0.016723834
28/07/2010,32.56,-0.012513516
27/07/2010,32.97,-0.048833493
26/07/2010,34.62,0.012498346
23/07/2010,34.19,0.009403537
22/07/2010,33.87,0.027841942
21/07/2010,32.94,-0.02102811
20/07/2010,33.64,0.043438872
19/07/2010,32.21,0.007791842
16/07/2010,31.96,-0.041672696
15/07/2010,33.32,0.001802344
14/07/2010,33.26,-0.019354482
13/07/2010,33.91,0.007399767
12/07/2010,33.66,-0.013573534
09/07/2010,34.12,0.00440594
08/07/2010,33.97,-0.013450495
07/07/2010,34.43,0.022024088
06/07/2010,33.68,-0.029547272
02/07/2010,34.69,-0.016014068
01/07/2010,35.25,0.024699705
30/06/2010,34.39,-0.006665725
29/06/2010,34.62,-0.033516344
28/06/2010,35.8,-0.007236324
25/06/2010,36.06,0.039597933
24/06/2010,34.66,-0.01175978
23/06/2010,35.07,0.010606377
22/06/2010,34.7,-0.030369866
21/06/2010,35.77,-0.021024288
18/06/2010,36.53,-0.00027371
17/06/2010,36.54,-0.010616678
16/06/2010,36.93,-0.030139633
15/06/2010,38.06,0.012691868
14/06/2010,37.58,0.012316086
11/06/2010,37.12,-0.004569286
10/06/2010,37.29,0.034650854
09/06/2010,36.02,0.000555401
08/06/2010,36,-0.002219757
07/06/2010,36.08,-0.021930703
04/06/2010,36.88,-0.059731024
03/06/2010,39.15,0.035355905
02/06/2010,37.79,0.038850313
01/06/2010,36.35,0.001376463
28/05/2010,36.3,-0.005220509
27/05/2010,36.49,0.032305789
26/05/2010,35.33,-0.032579799
25/05/2010,36.5,0.021041751
24/05/2010,35.74,0.005330353
21/05/2010,35.55,0.032592936
20/05/2010,34.41,-0.026951173
19/05/2010,35.35,0.008237513
18/05/2010,35.06,-0.026458059
17/05/2010,36,0.003338901
14/05/2010,35.88,-0.024774182
13/05/2010,36.78,-0.069065372
12/05/2010,39.41,0.016114941
11/05/2010,38.78,0.00594855
10/05/2010,38.55,0.099755845
07/05/2010,34.89,-0.029093988
06/05/2010,35.92,-0.057606841
05/05/2010,38.05,0.013494053
04/05/2010,37.54,-0.024731595
03/05/2010,38.48,0.024198971
30/04/2010,37.56,-0.015586103
29/04/2010,38.15,0.000786679
28/04/2010,38.12,-0.026916739
27/04/2010,39.16,-0.035126542
26/04/2010,40.56,0.017158198
23/04/2010,39.87,-0.010727308
22/04/2010,40.3,0.047773312
21/04/2010,38.42,0.005742642
20/04/2010,38.2,0.006039141
19/04/2010,37.97,-0.011521468
16/04/2010,38.41,-0.025447974
15/04/2010,39.4,0.005599404
14/04/2010,39.18,0.022194459
13/04/2010,38.32,0.007070869
12/04/2010,38.05,-0.013314385
09/04/2010,38.56,0.007026704
08/04/2010,38.29,0
07/04/2010,38.29,-0.022211657
06/04/2010,39.15,0.006149135
05/04/2010,38.91,0.027884543
01/04/2010,37.84,-0.006059826
31/03/2010,38.07,-0.001574803
30/03/2010,38.13,0.01639381
29/03/2010,37.51,-0.012452141
26/03/2010,37.98,0.030204087
25/03/2010,36.85,0.015313397
24/03/2010,36.29,-0.00275179
23/03/2010,36.39,-0.001373061
22/03/2010,36.44,0.023321435
19/03/2010,35.6,-0.015054647
18/03/2010,36.14,0.002770852
17/03/2010,36.04,-0.010488642
16/03/2010,36.42,-0.009020151
15/03/2010,36.75,0.007099975
12/03/2010,36.49,0.000822481
11/03/2010,36.46,0.004122584
10/03/2010,36.31,0.013028597
09/03/2010,35.84,0.014615212
08/03/2010,35.32,0.009672906
05/03/2010,34.98,0.018465614
04/03/2010,34.34,0.027754955
03/03/2010,33.4,0.008720548
02/03/2010,33.11,-0.002111933
01/03/2010,33.18,0.029980832
26/02/2010,32.2,0.009987599
25/02/2010,31.88,0.002827079
24/02/2010,31.79,0.00409772
23/02/2010,31.66,-0.011931068
22/02/2010,32.04,0.002500001
19/02/2010,31.96,-0.004370909
18/02/2010,32.1,0.016965534
17/02/2010,31.56,0.011472401
16/02/2010,31.2,0.011605546
12/02/2010,30.84,-0.009680618
11/02/2010,31.14,-0.007996204
10/02/2010,31.39,-0.014548011
09/02/2010,31.85,0.029957626
