Date,Close,TSO
10/01/2012,22.86,0.016762633
09/01/2012,22.48,-0.020691911
06/01/2012,22.95,0.01536803
05/01/2012,22.6,-0.060520504
04/01/2012,24.01,-0.002495842
03/01/2012,24.07,0.029941094
30/12/2011,23.36,0.000856531
29/12/2011,23.34,0.011635555
28/12/2011,23.07,-0.043263744
27/12/2011,24.09,0.021397922
23/12/2011,23.58,0.00595493
22/12/2011,23.44,0.015044341
21/12/2011,23.09,0.035261476
20/12/2011,22.29,0.049194014
19/12/2011,21.22,-0.040633475
16/12/2011,22.1,0.015963851
15/12/2011,21.75,-0.003671413
14/12/2011,21.83,0.012445425
13/12/2011,21.56,-0.016559716
12/12/2011,21.92,0.005948313
09/12/2011,21.79,0.005060972
08/12/2011,21.68,-0.044652288
07/12/2011,22.67,-0.027839989
06/12/2011,23.31,-0.063170146
05/12/2011,24.83,0.013379482
02/12/2011,24.5,0.010668956
01/12/2011,24.24,0.0145442
30/11/2011,23.89,0.026294984
29/11/2011,23.27,0.006034501
28/11/2011,23.13,0.033409701
25/11/2011,22.37,-0.011555684
23/11/2011,22.63,-0.042393891
22/11/2011,23.61,-0.004648223
21/11/2011,23.72,0.001687764
18/11/2011,23.68,-0.005054771
17/11/2011,23.8,-0.017493157
16/11/2011,24.22,-0.103087083
15/11/2011,26.85,-0.012215588
14/11/2011,27.18,-0.037195116
11/11/2011,28.21,0.012843559
10/11/2011,27.85,-0.01319798
09/11/2011,28.22,-0.033452597
08/11/2011,29.18,0.009988029
07/11/2011,28.89,0.003120127
04/11/2011,28.8,0.038221213
03/11/2011,27.72,0.024836923
02/11/2011,27.04,0.055506455
01/11/2011,25.58,-0.013975383
31/10/2011,25.94,-0.043747549
28/10/2011,27.1,0.00073828
27/10/2011,27.08,0.075927602
26/10/2011,25.1,0.045230769
25/10/2011,23.99,-0.078149102
24/10/2011,25.94,-0.017577831
21/10/2011,26.4,0.022214625
20/10/2011,25.82,0.02232323
19/10/2011,25.25,-0.039982038
18/10/2011,26.28,0.041567452
17/10/2011,25.21,-0.057422824
14/10/2011,26.7,0.065787741
13/10/2011,25,0.024702613
12/10/2011,24.39,0.002463055
11/10/2011,24.33,-0.002052967
10/10/2011,24.38,0.074928653
07/10/2011,22.62,-0.020565153
06/10/2011,23.09,0.050632484
05/10/2011,21.95,0.129180313
04/10/2011,19.29,0.057615933
03/10/2011,18.21,-0.066903926
30/09/2011,19.47,-0.039279974
29/09/2011,20.25,0.017937701
28/09/2011,19.89,-0.032157112
27/09/2011,20.54,0.009784814
26/09/2011,20.34,0.071841425
23/09/2011,18.93,-0.009986942
22/09/2011,19.12,-0.115921704
21/09/2011,21.47,-0.038826526
20/09/2011,22.32,-0.022154207
19/09/2011,22.82,-0.03868123
16/09/2011,23.72,-0.021272961
15/09/2011,24.23,0.034428253
14/09/2011,23.41,-0.002559728
13/09/2011,23.47,-0.013121881
12/09/2011,23.78,0.013974396
09/09/2011,23.45,-0.037661355
08/09/2011,24.35,0.012396853
07/09/2011,24.05,0.029538012
06/09/2011,23.35,0.011630542
02/09/2011,23.08,-0.041168555
01/09/2011,24.05,-0.000415714
31/08/2011,24.06,0.022274508
30/08/2011,23.53,0.013692982
29/08/2011,23.21,0.045392238
26/08/2011,22.18,0.057529776
25/08/2011,20.94,-0.017045867
24/08/2011,21.3,0.057489869
23/08/2011,20.11,0.078593402
22/08/2011,18.59,-0.030200971
19/08/2011,19.16,-0.011932697
18/08/2011,19.39,-0.072596479
17/08/2011,20.85,0.002881846
16/08/2011,20.79,-0.03497521
15/08/2011,21.53,0.057841689
12/08/2011,20.32,0.002463662
11/08/2011,20.27,0.082759765
10/08/2011,18.66,-0.041978881
09/08/2011,19.46,0.056554038
08/08/2011,18.39,-0.155315231
05/08/2011,21.48,-0.0147877
04/08/2011,21.8,-0.070826053
03/08/2011,23.4,0.001282874
02/08/2011,23.37,-0.050479956
01/08/2011,24.58,0.011868361
29/07/2011,24.29,0.010345633
28/07/2011,24.04,-0.015683359
27/07/2011,24.42,-0.036981706
26/07/2011,25.34,0.007128743
25/07/2011,25.16,0.031902564
22/07/2011,24.37,0.00123178
21/07/2011,24.34,0.026224187
20/07/2011,23.71,-0.003788681
19/07/2011,23.8,0.025964429
18/07/2011,23.19,-0.012427844
15/07/2011,23.48,0.022395424
