Date,Close,THC
03/05/2011,6.58,-0.016579129
02/05/2011,6.69,-0.035245939
29/04/2011,6.93,0
28/04/2011,6.93,-0.001441961
27/04/2011,6.94,0.005780363
26/04/2011,6.9,0.00290276
25/04/2011,6.88,0.016117565
21/04/2011,6.77,0.008902136
20/04/2011,6.71,0.010486987
19/04/2011,6.64,0.022849433
18/04/2011,6.49,-0.025856954
15/04/2011,6.66,0.009049836
14/04/2011,6.6,0.009132484
13/04/2011,6.54,-0.003053437
12/04/2011,6.56,0.018462063
11/04/2011,6.44,-0.159019023
08/04/2011,7.55,0.006644543
07/04/2011,7.5,-0.005319161
06/04/2011,7.54,-0.005291018
05/04/2011,7.58,-0.00526317
04/04/2011,7.62,-0.001311476
01/04/2011,7.63,0.023873813
31/03/2011,7.45,-0.008021433
30/03/2011,7.51,0.02973192
29/03/2011,7.29,0.002747254
28/03/2011,7.27,0.006901339
25/03/2011,7.22,0.016760169
24/03/2011,7.1,0.008486614
23/03/2011,7.04,0.001421464
22/03/2011,7.03,-0.009908078
21/03/2011,7.1,0.012757083
18/03/2011,7.01,-0.001425517
17/03/2011,7.02,0.018692133
16/03/2011,6.89,-0.015839064
15/03/2011,7,-0.011363759
14/03/2011,7.08,-0.001411433
11/03/2011,7.09,-0.020935866
10/03/2011,7.24,-0.005509656
09/03/2011,7.28,0.020819628
08/03/2011,7.13,0.014124529
07/03/2011,7.03,-0.021112677
04/03/2011,7.18,0
03/03/2011,7.18,0.012614043
02/03/2011,7.09,0.008498635
01/03/2011,7.03,-0.021112677
28/02/2011,7.18,0.015438903
25/02/2011,7.07,0.014245255
24/02/2011,6.97,0.010093813
23/02/2011,6.9,-0.004338402
22/02/2011,6.93,-0.011477888
18/02/2011,7.01,-0.004270469
17/02/2011,7.04,0.001421464
16/02/2011,7.03,0.017217068
15/02/2011,6.91,-0.010079279
14/02/2011,6.98,-0.002861232
11/02/2011,7,0.005730675
10/02/2011,6.96,0.013015368
09/02/2011,6.87,0.013187004
08/02/2011,6.78,0.008888947
07/02/2011,6.72,0.007468295
04/02/2011,6.67,0.001500375
03/02/2011,6.66,-0.002998503
02/02/2011,6.68,0.004501133
01/02/2011,6.65,0
