Date,Close,PFE
22/12/2011,21.63,-0.002308937
21/12/2011,21.68,0.010199439
20/12/2011,21.46,0.015023757
19/12/2011,21.14,0.005216991
16/12/2011,21.03,-0.005216991
15/12/2011,21.14,0.013333531
14/12/2011,20.86,0.004805391
13/12/2011,20.76,0.017983474
12/12/2011,20.39,-0.008302856
09/12/2011,20.56,0.018160008
08/12/2011,20.19,-0.013772967
07/12/2011,20.47,0.011793748
06/12/2011,20.23,0.019466549
05/12/2011,19.84,-0.002516991
02/12/2011,19.89,-0.007014057
01/12/2011,20.03,-0.001995013
30/11/2011,20.07,0.033953097
29/11/2011,19.4,0.016108428
28/11/2011,19.09,0.034100267
25/11/2011,18.45,0
23/11/2011,18.45,-0.024097552
22/11/2011,18.9,-0.003169575
21/11/2011,18.96,-0.029620248
18/11/2011,19.53,0.003076926
17/11/2011,19.47,-0.005122962
16/11/2011,19.57,-0.015213275
15/11/2011,19.87,0.004034297
14/11/2011,19.79,-0.010055389
11/11/2011,19.99,0.010055389
10/11/2011,19.79,0.02300127
09/11/2011,19.34,-0.037548805
08/11/2011,20.08,0.000498132
07/11/2011,20.07,0.020640048
04/11/2011,19.66,-0.011128087
03/11/2011,19.88,0.017762456
02/11/2011,19.53,0.010293452
01/11/2011,19.33,0.003627887
31/10/2011,19.26,-0.028661123
28/10/2011,19.82,-0.001008573
27/10/2011,19.84,0.028631813
26/10/2011,19.28,0.02149493
25/10/2011,18.87,-0.025635722
24/10/2011,19.36,0.015617184
21/10/2011,19.06,0.017465382
20/10/2011,18.73,-0.004262127
19/10/2011,18.81,-0.008470141
18/10/2011,18.97,0.014870162
17/10/2011,18.69,-0.018553408
14/10/2011,19.04,0.014815086
13/10/2011,18.76,-0.003193191
12/10/2011,18.82,-0.00159278
11/10/2011,18.85,-0.00370665
10/10/2011,18.92,0.025697345
07/10/2011,18.44,0.011453629
06/10/2011,18.23,0.01380856
05/10/2011,17.98,0.02192947
04/10/2011,17.59,0.014891455
03/10/2011,17.33,-0.019994953
30/09/2011,17.68,-0.016825972
29/09/2011,17.98,0.023636441
28/09/2011,17.56,-0.010761928
27/09/2011,17.75,-0.001126126
26/09/2011,17.77,0.018171994
23/09/2011,17.45,-0.00228964
22/09/2011,17.49,-0.019813838
21/09/2011,17.84,-0.022173857
20/09/2011,18.24,0.009917437
19/09/2011,18.06,-0.004971013
16/09/2011,18.15,-0.018559485
15/09/2011,18.49,0.00433605
14/09/2011,18.41,0.004354933
13/09/2011,18.33,0.004373982
12/09/2011,18.25,-0.001642486
09/09/2011,18.28,-0.029112568
08/09/2011,18.82,-0.010045022
07/09/2011,19.01,0.01911901
06/09/2011,18.65,0.010239917
02/09/2011,18.46,-0.024084654
01/09/2011,18.91,-0.003694911
31/08/2011,18.98,0.005282632
30/08/2011,18.88,0
29/08/2011,18.88,0.036132267
26/08/2011,18.21,0.013823831
25/08/2011,17.96,-0.023659976
24/08/2011,18.39,0.008190054
23/08/2011,18.24,0.031182927
22/08/2011,17.68,0.000565771
19/08/2011,17.67,-0.002261165
18/08/2011,17.71,-0.043100594
17/08/2011,18.49,0.009782687
16/08/2011,18.31,-0.001637108
15/08/2011,18.34,0.026520891
12/08/2011,17.86,0.002803478
11/08/2011,17.81,0.043609894
10/08/2011,17.05,-0.031748698
09/08/2011,17.6,0.054888265
08/08/2011,16.66,-0.048618652
05/08/2011,17.49,0.00746058
