Date,Close,FLIR
11/04/2011,33.55,-0.003867326
08/04/2011,33.68,-0.005625477
07/04/2011,33.87,-0.012615687
06/04/2011,34.3,0.003504676
05/04/2011,34.18,0.001463915
04/04/2011,34.13,-0.023169296
01/04/2011,34.93,0.009203401
31/03/2011,34.61,0.00463366
30/03/2011,34.45,0.009918401
29/03/2011,34.11,0.010313927
28/03/2011,33.76,-0.00531759
25/03/2011,33.94,0.006799731
24/03/2011,33.71,0.014642425
23/03/2011,33.22,-0.009288456
22/03/2011,33.53,0.014116468
21/03/2011,33.06,0.032900738
18/03/2011,31.99,0.004385972
17/03/2011,31.85,0.020939851
16/03/2011,31.19,-0.01527233
15/03/2011,31.67,-0.01348617
14/03/2011,32.1,0.004996887
11/03/2011,31.94,0.001566662
10/03/2011,31.89,-0.003755873
09/03/2011,32.01,-0.009947238
08/03/2011,32.33,0.00496125
07/03/2011,32.17,-0.000621504
04/03/2011,32.19,-0.016636243
03/03/2011,32.73,0.027254706
02/03/2011,31.85,0.008196767
01/03/2011,31.59,-0.022226615
28/02/2011,32.3,0.009643876
25/02/2011,31.99,0.007845639
24/02/2011,31.74,0.008543004
23/02/2011,31.47,-0.007912686
22/02/2011,31.72,-0.017810188
18/02/2011,32.29,0.003723244
17/02/2011,32.17,-0.001553036
16/02/2011,32.22,0.009041371
15/02/2011,31.93,0.000313234
14/02/2011,31.92,-0.008112369
11/02/2011,32.18,-0.033310948
10/02/2011,33.27,0.024647528
09/02/2011,32.46,0.002158829
08/02/2011,32.39,0.012739026
07/02/2011,31.98,-0.004679466
04/02/2011,32.13,-0.007132919
03/02/2011,32.36,0.006199648
02/02/2011,32.16,0.000310994
01/02/2011,32.15,0.035135755
31/01/2011,31.04,0.013296774
28/01/2011,30.63,-0.000326424
27/01/2011,30.64,0.004579661
26/01/2011,30.5,0.018531305
25/01/2011,29.94,0.00838509
24/01/2011,29.69,0.010836544
21/01/2011,29.37,0.003410645
20/01/2011,29.27,-0.003070103
19/01/2011,29.36,-0.012187016
18/01/2011,29.72,0.007768997
14/01/2011,29.49,0.012282652
13/01/2011,29.13,0.003438793
12/01/2011,29.03,0.005526784
11/01/2011,28.87,-0.00034632
10/01/2011,28.88,-0.007932444
07/01/2011,29.11,-0.002401785
06/01/2011,29.18,-0.008531019
05/01/2011,29.43,0.01196391
04/01/2011,29.08,-0.019411473
03/01/2011,29.65,-0.003367007
31/12/2010,29.75,-0.007367749
