Date,Close,PCL
10/08/2011,35.25,-0.032927082
09/08/2011,36.43,0.043479012
08/08/2011,34.88,-0.045672597
05/08/2011,36.51,0.008803358
04/08/2011,36.19,-0.035291393
03/08/2011,37.49,-0.000799893
02/08/2011,37.52,-0.013764114
01/08/2011,38.04,-0.004720701
29/07/2011,38.22,-0.004958904
28/07/2011,38.41,-0.002340399
27/07/2011,38.5,-0.01367234
26/07/2011,39.03,-0.035983251
25/07/2011,40.46,-0.005422739
22/07/2011,40.68,-0.012458937
21/07/2011,41.19,0.007799211
20/07/2011,40.87,-0.000244648
19/07/2011,40.88,0.01677395
18/07/2011,40.2,-0.007434978
15/07/2011,40.5,0.008928631
14/07/2011,40.14,-0.012133367
13/07/2011,40.63,-0.001229861
12/07/2011,40.68,-0.000245791
11/07/2011,40.69,-0.011241565
08/07/2011,41.15,-0.005815379
07/07/2011,41.39,0.006787905
06/07/2011,41.11,0.000730016
05/07/2011,41.08,-0.005583216
01/07/2011,41.31,0.01881546
30/06/2011,40.54,0.009417666
29/06/2011,40.16,0.011016636
28/06/2011,39.72,0.00631395
27/06/2011,39.47,0.006864143
24/06/2011,39.2,-0.004073325
23/06/2011,39.36,-0.004056801
22/06/2011,39.52,-0.006808752
21/06/2011,39.79,0.011628038
20/06/2011,39.33,0.003821174
17/06/2011,39.18,0.012326812
16/06/2011,38.7,0.004662013
15/06/2011,38.52,-0.011871107
14/06/2011,38.98,0.016294166
13/06/2011,38.35,-0.007015749
10/06/2011,38.62,-0.021517224
09/06/2011,39.46,-0.003541618
08/06/2011,39.6,-0.004786506
07/06/2011,39.79,0.019541289
06/06/2011,39.02,-0.017276852
03/06/2011,39.7,-0.000503651
02/06/2011,39.72,-0.001760785
01/06/2011,39.79,-0.018180055
31/05/2011,40.52,0.014417351
27/05/2011,39.94,-0.001501126
26/05/2011,40,0.004259057
25/05/2011,39.83,-0.002006522
24/05/2011,39.91,0.005779637
23/05/2011,39.68,-0.014759492
20/05/2011,40.27,-0.013075307
19/05/2011,40.8,-0.001714216
18/05/2011,40.87,0.010329654
17/05/2011,40.45,-0.008860506
16/05/2011,40.81,0.000245068
13/05/2011,40.8,-0.014840316
12/05/2011,41.41,-0.006259048
11/05/2011,41.67,-0.014296169
10/05/2011,42.27,0.004029874
09/05/2011,42.1,0.009786449
06/05/2011,41.69,-0.009311277
05/05/2011,42.08,-0.011577211
04/05/2011,42.57,-0.007255737
03/05/2011,42.88,-0.000932401
02/05/2011,42.92,-0.003953034
29/04/2011,43.09,-0.01359938
28/04/2011,43.68,0.00527948
27/04/2011,43.45,-0.010758945
26/04/2011,43.92,0.023731099
25/04/2011,42.89,-0.001630752
21/04/2011,42.96,0.007007737
20/04/2011,42.66,0.004699257
19/04/2011,42.46,0.009227559
18/04/2011,42.07,-0.007105667
15/04/2011,42.37,-0.003063511
14/04/2011,42.5,0.011834458
13/04/2011,42,-0.007590169
12/04/2011,42.32,-0.008939133
11/04/2011,42.7,-0.00093633
08/04/2011,42.74,-0.011399449
07/04/2011,43.23,-0.011728317
06/04/2011,43.74,-0.005244568
05/04/2011,43.97,-0.000682051
