Date,Close,DGX
06/04/2010,58.4,-0.008525201
05/04/2010,58.9,-0.002882091
01/04/2010,59.07,0.013292629
31/03/2010,58.29,-0.005986506
30/03/2010,58.64,0.002561258
29/03/2010,58.49,0.010311141
26/03/2010,57.89,-0.001035912
25/03/2010,57.95,0.008665565
24/03/2010,57.45,0.002963482
23/03/2010,57.28,-0.011629047
22/03/2010,57.95,0.011279946
19/03/2010,57.3,-0.006783225
18/03/2010,57.69,0.003472829
17/03/2010,57.49,0.00943733
16/03/2010,56.95,0.011123978
15/03/2010,56.32,0.006233879
12/03/2010,55.97,0.000714924
11/03/2010,55.93,0.003223498
10/03/2010,55.75,0.000538261
09/03/2010,55.72,-0.00376176
08/03/2010,55.93,-0.004637896
05/03/2010,56.19,0.00428037
04/03/2010,55.95,0.002147075
03/03/2010,55.83,-0.014580628
02/03/2010,56.65,-0.003348316
01/03/2010,56.84,0.001584647
26/02/2010,56.75,0.001057828
25/02/2010,56.69,-0.002290548
24/02/2010,56.82,0.002114166
23/02/2010,56.7,-0.011747308
22/02/2010,57.37,-0.002263429
19/02/2010,57.5,-0.003472226
18/02/2010,57.7,0.005387101
17/02/2010,57.39,0.012272244
16/02/2010,56.69,0.010996918
12/02/2010,56.07,0.00303653
11/02/2010,55.9,0.002507614
10/02/2010,55.76,0.00143575
09/02/2010,55.68,0.012287831
08/02/2010,55,-0.010850016
05/02/2010,55.6,0.003062238
04/02/2010,55.43,-0.01876563
03/02/2010,56.48,-0.009164675
02/02/2010,57,0.009873141
01/02/2010,56.44,0.013736725
29/01/2010,55.67,-0.006802747
28/01/2010,56.05,-0.010294731
27/01/2010,56.63,-0.015593833
26/01/2010,57.52,0.001391789
25/01/2010,57.44,-0.02340093
22/01/2010,58.8,-0.016362008
21/01/2010,59.77,-0.014450878
20/01/2010,60.64,-0.015869454
19/01/2010,61.61,0.022321623
15/01/2010,60.25,-0.010730602
14/01/2010,60.9,0.015889113
13/01/2010,59.94,0.012253615
12/01/2010,59.21,-0.006397328
11/01/2010,59.59,0.002520374
08/01/2010,59.44,0
07/01/2010,59.44,0.009635777
06/01/2010,58.87,-0.0155068
05/01/2010,59.79,-0.022654958
04/01/2010,61.16,0.012835457
31/12/2009,60.38,-0.014958773
30/12/2009,61.29,-0.005207498
29/12/2009,61.61,0.001136825
28/12/2009,61.54,-0.000649773
24/12/2009,61.58,0.003741971
23/12/2009,61.35,-0.001628665
22/12/2009,61.45,-0.003249394
21/12/2009,61.65,0.011747565
18/12/2009,60.93,0.000820951
17/12/2009,60.88,-0.014189262
16/12/2009,61.75,-0.005168805
15/12/2009,62.07,0.010201692
14/12/2009,61.44,0.016575418
11/12/2009,60.43,0.019551128
10/12/2009,59.26,0.00796277
09/12/2009,58.79,-0.001529702
08/12/2009,58.88,-0.002544315
07/12/2009,59.03,0.013473385
04/12/2009,58.24,0.008449054
03/12/2009,57.75,-0.015123162
02/12/2009,58.63,0.001194641
01/12/2009,58.56,0.010643877
30/11/2009,57.94,-0.005679389
27/11/2009,58.27,-0.013127799
25/11/2009,59.04,0.003223347
24/11/2009,58.85,0.001020061
23/11/2009,58.79,0.010945893
20/11/2009,58.15,0.000343997
19/11/2009,58.13,-0.006002934
18/11/2009,58.48,-0.010038366
17/11/2009,59.07,-0.005907689
16/11/2009,59.42,0.013213812
13/11/2009,58.64,0.008219224
12/11/2009,58.16,0.000343938
11/11/2009,58.14,-0.006856386
10/11/2009,58.54,-0.002559073
09/11/2009,58.69,0.014588777
06/11/2009,57.84,0.00415801
05/11/2009,57.6,0.017690277
04/11/2009,56.59,-0.000353357
03/11/2009,56.61,0.008515219
02/11/2009,56.13,0.00356952
30/10/2009,55.93,-0.015611458
29/10/2009,56.81,0.016147986
28/10/2009,55.9,-0.004462301
27/10/2009,56.15,0.003032197
26/10/2009,55.98,-0.006055228
23/10/2009,56.32,-0.009366508
22/10/2009,56.85,0.010610179
21/10/2009,56.25,-0.006732839
20/10/2009,56.63,-0.001411682
19/10/2009,56.71,0.027712509
16/10/2009,55.16,-0.007945148
15/10/2009,55.6,0.002881846
14/10/2009,55.44,0.020961307
13/10/2009,54.29,-0.005876968
12/10/2009,54.61,-0.005842631
