Date,Close,BBT
15/08/2011,21.19,0.031155168
12/08/2011,20.54,-0.025001302
11/08/2011,21.06,0.058667848
10/08/2011,19.86,-0.112735069
09/08/2011,22.23,0.039454659
08/08/2011,21.37,-0.086894384
05/08/2011,23.31,-0.016170565
04/08/2011,23.69,-0.037693425
03/08/2011,24.6,0.008573231
02/08/2011,24.39,-0.048809688
01/08/2011,25.61,-0.002729579
29/07/2011,25.68,-0.003498546
28/07/2011,25.77,0.00388803
27/07/2011,25.67,-0.025006112
26/07/2011,26.32,0.008393792
25/07/2011,26.1,-0.003060446
22/07/2011,26.18,-0.004192878
21/07/2011,26.29,0.025425098
20/07/2011,25.63,0.013749971
19/07/2011,25.28,0.011938065
18/07/2011,24.98,-0.013519093
15/07/2011,25.32,0
14/07/2011,25.32,-0.014896395
13/07/2011,25.7,0.00233736
12/07/2011,25.64,0.003907781
11/07/2011,25.54,-0.021306249
08/07/2011,26.09,-0.033914328
07/07/2011,26.99,0.008558192
06/07/2011,26.76,-0.013731891
05/07/2011,27.13,-0.007710705
01/07/2011,27.34,0.018457519
30/06/2011,26.84,0.011240283
29/06/2011,26.54,0.02672935
28/06/2011,25.84,-0.001933115
27/06/2011,25.89,0.017141051
24/06/2011,25.45,-0.004704046
23/06/2011,25.57,-0.005460232
22/06/2011,25.71,-0.019642457
21/06/2011,26.22,-0.001905125
20/06/2011,26.27,0.003049945
17/06/2011,26.19,-0.002288331
16/06/2011,26.25,0.00841627
15/06/2011,26.03,-0.012597991
14/06/2011,26.36,0.009529327
13/06/2011,26.11,0.010781776
10/06/2011,25.83,-0.001160766
09/06/2011,25.86,0.010105022
08/06/2011,25.6,-0.00778214
07/06/2011,25.8,0.002716866
06/06/2011,25.73,-0.015043678
03/06/2011,26.12,-0.003439713
02/06/2011,26.21,0.009969408
01/06/2011,25.95,-0.059467884
31/05/2011,27.54,0.008752791
27/05/2011,27.3,0.015132232
26/05/2011,26.89,0.008215132
25/05/2011,26.67,0.017398321
24/05/2011,26.21,0.004205703
23/05/2011,26.1,-0.01747101
20/05/2011,26.56,-0.027846611
19/05/2011,27.31,0.008826832
18/05/2011,27.07,-0.000738552
17/05/2011,27.09,0.015625318
16/05/2011,26.67,0.001500938
13/05/2011,26.63,-0.021178573
12/05/2011,27.2,0.002208319
11/05/2011,27.14,-0.001840604
10/05/2011,27.19,0.008124121
09/05/2011,26.97,-0.000370714
06/05/2011,26.98,0.011931536
05/05/2011,26.66,-0.001873712
04/05/2011,26.71,-0.007459938
03/05/2011,26.91,0.011962759
02/05/2011,26.59,-0.0123343
29/04/2011,26.92,0.010080354
28/04/2011,26.65,0.01779339
27/04/2011,26.18,0.005361943
26/04/2011,26.04,0.014310822
25/04/2011,25.67,-0.012004016
21/04/2011,25.98,-0.023208194
20/04/2011,26.59,-0.013076966
19/04/2011,26.94,0.012325086
18/04/2011,26.61,0.003010917
15/04/2011,26.53,0.002642009
14/04/2011,26.46,-0.014631662
13/04/2011,26.85,-0.015521376
12/04/2011,27.27,-0.000733138
11/04/2011,27.29,0.002201028
08/04/2011,27.23,-0.006223707
