Date,Close,EXPE
22/11/2011,26.8,-0.003724399
21/11/2011,26.9,-0.020604114
18/11/2011,27.46,0.016523233
17/11/2011,27.01,-0.030984801
16/11/2011,27.86,-0.011420538
15/11/2011,28.18,0.014656205
14/11/2011,27.77,-0.007533668
11/11/2011,27.98,0.018395469
10/11/2011,27.47,0.016517168
09/11/2011,27.02,-0.043453614
08/11/2011,28.22,-0.021732366
07/11/2011,28.84,0.016431064
04/11/2011,28.37,0.008140197
03/11/2011,28.14,0.019014026
02/11/2011,27.61,0.008365206
01/11/2011,27.38,0.041765951
31/10/2011,26.26,-0.038106964
28/10/2011,27.28,-0.06424064
27/10/2011,29.09,0.032136891
26/10/2011,28.17,0.006767613
25/10/2011,27.98,-0.030966584
24/10/2011,28.86,0.036701367
21/10/2011,27.82,0.022538213
20/10/2011,27.2,-0.005865119
19/10/2011,27.36,-0.023122417
18/10/2011,28,0.007888173
17/10/2011,27.78,-0.008245252
14/10/2011,28.01,-0.007469357
13/10/2011,28.22,-0.000354296
12/10/2011,28.23,0
11/10/2011,28.23,0.009610325
10/10/2011,27.96,0.035679067
07/10/2011,26.98,-0.006281196
06/10/2011,27.15,0.045976447
05/10/2011,25.93,0.028556605
04/10/2011,25.2,0.035956206
03/10/2011,24.31,-0.057546839
30/09/2011,25.75,-0.051099101
29/09/2011,27.1,-0.05247341
28/09/2011,28.56,-0.012180419
27/09/2011,28.91,0.016390951
26/09/2011,28.44,0.045683181
23/09/2011,27.17,0.02195437
22/09/2011,26.58,-0.059871893
21/09/2011,28.22,-0.022772047
20/09/2011,28.87,0.002774889
19/09/2011,28.79,-0.027746257
16/09/2011,29.6,0.002029084
15/09/2011,29.54,-0.005738412
14/09/2011,29.71,-0.002353338
13/09/2011,29.78,0.004712227
12/09/2011,29.64,0.017356229
09/09/2011,29.13,-0.029428811
08/09/2011,30,-0.014888612
07/09/2011,30.45,0.022584819
06/09/2011,29.77,0.01796354
02/09/2011,29.24,-0.032304289
01/09/2011,30.2,-0.003635767
31/08/2011,30.31,0.010613698
30/08/2011,29.99,0.024642597
29/08/2011,29.26,0.04294603
26/08/2011,28.03,0.028956058
25/08/2011,27.23,-0.018556108
24/08/2011,27.74,0.003611416
23/08/2011,27.64,0.030862111
22/08/2011,26.8,0.010125719
19/08/2011,26.53,-0.019410837
18/08/2011,27.05,-0.066846392
17/08/2011,28.92,-0.014418375
16/08/2011,29.34,-0.009835589
15/08/2011,29.63,0.029454184
12/08/2011,28.77,0.011888252
11/08/2011,28.43,0.035078758
10/08/2011,27.45,-0.030848931
09/08/2011,28.31,0.055559759
08/08/2011,26.78,-0.065051832
05/08/2011,28.58,-0.010095821
04/08/2011,28.87,-0.059503351
