Date,Close,NEE
07/03/2011,54.62,-0.002377253
04/03/2011,54.75,0.005678191
03/03/2011,54.44,0.011825711
02/03/2011,53.8,-0.006115094
01/03/2011,54.13,-0.024453773
28/02/2011,55.47,0.014161457
25/02/2011,54.69,0.005132917
24/02/2011,54.41,0.000735429
23/02/2011,54.37,-0.005136683
22/02/2011,54.65,0.001098499
18/02/2011,54.59,0.006432072
17/02/2011,54.24,-0.002209946
16/02/2011,54.36,-0.00751401
15/02/2011,54.77,0.001278889
14/02/2011,54.7,-0.00655979
11/02/2011,55.06,-0.002901707
10/02/2011,55.22,-0.000362122
09/02/2011,55.24,-0.003433635
08/02/2011,55.43,0.004339186
07/02/2011,55.19,0.008187074
04/02/2011,54.74,-0.004556647
03/02/2011,54.99,0.002366865
02/02/2011,54.86,0.006033477
01/02/2011,54.53,0.019817298
31/01/2011,53.46,-0.010605737
28/01/2011,54.03,-0.007008513
27/01/2011,54.41,0.003682567
26/01/2011,54.21,-0.006618888
25/01/2011,54.57,0.007910997
24/01/2011,54.14,-0.005158449
21/01/2011,54.42,0.003128741
20/01/2011,54.25,0.003508452
19/01/2011,54.06,-0.004429686
18/01/2011,54.3,0.002766253
14/01/2011,54.15,0.007228277
13/01/2011,53.76,0.002421083
12/01/2011,53.63,0.016355285
11/01/2011,52.76,-0.003028011
10/01/2011,52.92,0.013315776
07/01/2011,52.22,0.002108694
06/01/2011,52.11,-0.004404028
05/01/2011,52.34,-0.007802875
04/01/2011,52.75,0.00990673
03/01/2011,52.23,0.00460565
31/12/2010,51.99,0.000384763
30/12/2010,51.97,-0.001922338
29/12/2010,52.07,-0.004216181
28/12/2010,52.29,0.002680967
27/12/2010,52.15,-0.000383436
23/12/2010,52.17,0.00191865
22/12/2010,52.07,0.018413157
21/12/2010,51.12,-0.007988352
20/12/2010,51.53,-0.00271318
17/12/2010,51.67,0.008747262
16/12/2010,51.22,0.007446634
15/12/2010,50.84,-0.011538213
14/12/2010,51.43,-0.012751332
13/12/2010,52.09,0.001729273
10/12/2010,52,0.017850687
09/12/2010,51.08,0.003923112
08/12/2010,50.88,0.000786473
