Date,Close,VTR
18/02/2011,56.36,0.014656205
17/02/2011,55.54,-0.010923199
16/02/2011,56.15,0.013808163
15/02/2011,55.38,-0.000541565
14/02/2011,55.41,0.003434876
11/02/2011,55.22,0.001631174
10/02/2011,55.13,0.002906451
09/02/2011,54.97,0.004375577
08/02/2011,54.73,0.012872557
07/02/2011,54.03,0.006126446
04/02/2011,53.7,-0.009636843
03/02/2011,54.22,0.002770341
02/02/2011,54.07,0.001851167
01/02/2011,53.97,-0.027233704
31/01/2011,55.46,0.020033451
28/01/2011,54.36,-0.010613091
27/01/2011,54.94,0.010981077
26/01/2011,54.34,0.001473297
25/01/2011,54.26,0.014853597
24/01/2011,53.46,-0.002055499
21/01/2011,53.57,0.001307556
20/01/2011,53.5,0.001309268
19/01/2011,53.43,-0.005971281
18/01/2011,53.75,0.01575131
14/01/2011,52.91,0.005876237
13/01/2011,52.6,0.00152207
12/01/2011,52.52,0.013224917
11/01/2011,51.83,-0.003659128
10/01/2011,52.02,-0.007469153
07/01/2011,52.41,-0.005897477
06/01/2011,52.72,-0.000947957
05/01/2011,52.77,-0.008115549
04/01/2011,53.2,-0.011772536
03/01/2011,53.83,0.025398788
31/12/2010,52.48,-0.007403926
30/12/2010,52.87,0.005119951
29/12/2010,52.6,-0.002847653
28/12/2010,52.75,0.009523882
27/12/2010,52.25,0.005950685
23/12/2010,51.94,0.003278375
22/12/2010,51.77,0.014201192
21/12/2010,51.04,0.014405775
20/12/2010,50.31,0.013406904
17/12/2010,49.64,0.012976662
16/12/2010,49,0.004704928
15/12/2010,48.77,-0.011214309
14/12/2010,49.32,-0.020668941
13/12/2010,50.35,0.007575794
10/12/2010,49.97,0.011877341
09/12/2010,49.38,-0.012077441
08/12/2010,49.98,-0.017846994
07/12/2010,50.88,0.008288976
06/12/2010,50.46,-0.000990393
03/12/2010,50.51,-0.004543218
02/12/2010,50.74,0.001380535
01/12/2010,50.67,-0.011771766
30/11/2010,51.27,-0.008932098
29/11/2010,51.73,-0.003473566
26/11/2010,51.91,-0.006337035
24/11/2010,52.24,0.019718404
23/11/2010,51.22,-0.009907803
22/11/2010,51.73,0.005233077
19/11/2010,51.46,0.003894086
18/11/2010,51.26,0.002148229
17/11/2010,51.15,0.007456863
16/11/2010,50.77,-0.043740717
15/11/2010,53.04,-0.007700292
12/11/2010,53.45,-0.014118756
11/11/2010,54.21,-0.00331492
10/11/2010,54.39,0.015564517
09/11/2010,53.55,-0.029259609
08/11/2010,55.14,0.000725689
05/11/2010,55.1,-0.005971247
04/11/2010,55.43,0.032825905
03/11/2010,53.64,-0.002792518
02/11/2010,53.79,0.000371885
01/11/2010,53.77,0.00391317
29/10/2010,53.56,0.006932112
28/10/2010,53.19,0.001128668
27/10/2010,53.13,-0.014574249
26/10/2010,53.91,0.00875646
25/10/2010,53.44,0.020607592
22/10/2010,52.35,-0.044825431
21/10/2010,54.75,-0.004192114
20/10/2010,54.98,0.021324337
19/10/2010,53.82,-0.011270327
18/10/2010,54.43,0.015926263
15/10/2010,53.57,-0.010584074
14/10/2010,54.14,-0.004974676
13/10/2010,54.41,0.009417483
12/10/2010,53.9,0.001857011
11/10/2010,53.8,-0.000185856
08/10/2010,53.81,-0.002969013
07/10/2010,53.97,-0.001481207
06/10/2010,54.05,-0.0031403
05/10/2010,54.22,0.032617699
04/10/2010,52.48,0.015941949
01/10/2010,51.65,0.001550088
30/09/2010,51.57,0.004275172
29/09/2010,51.35,-0.007372948
28/09/2010,51.73,0.003485674
27/09/2010,51.55,-0.012721837
24/09/2010,52.21,0.026393925
23/09/2010,50.85,-0.028498585
22/09/2010,52.32,-0.00438639
21/09/2010,52.55,-0.023136554
20/09/2010,53.78,0.016876455
17/09/2010,52.88,0.001135289
16/09/2010,52.82,-0.00321331
15/09/2010,52.99,0.000377501
14/09/2010,52.97,0.002646504
13/09/2010,52.83,0.01295503
