Date,Close,IPG
06/01/2011,10.61,-0.000942063
05/01/2011,10.62,0.014224991
04/01/2011,10.47,-0.02732153
03/01/2011,10.76,0.013096539
31/12/2010,10.62,-0.000941177
30/12/2010,10.63,0.000941177
29/12/2010,10.62,0
28/12/2010,10.62,-0.006569709
27/12/2010,10.69,-0.00652683
23/12/2010,10.76,-0.001857011
22/12/2010,10.78,-0.011987234
21/12/2010,10.91,0.020371075
20/12/2010,10.69,-0.013011336
17/12/2010,10.83,-0.010105736
16/12/2010,10.94,0.003663008
15/12/2010,10.9,-0.009132484
14/12/2010,11,-0.009950331
13/12/2010,11.11,0
10/12/2010,11.11,0.005415176
09/12/2010,11.05,0.008178146
08/12/2010,10.96,0
07/12/2010,10.96,0
06/12/2010,10.96,0.012856008
03/12/2010,10.82,-0.01831553
02/12/2010,11.02,0.026668247
01/12/2010,10.73,0.007483664
30/11/2010,10.65,0.012281685
29/11/2010,10.52,-0.007575794
26/11/2010,10.6,-0.008454724
24/11/2010,10.69,0.035224965
23/11/2010,10.32,-0.026770241
22/11/2010,10.6,0.002834201
19/11/2010,10.57,0.003791474
18/11/2010,10.53,0.006669868
17/11/2010,10.46,-0.005719749
16/11/2010,10.52,-0.000950119
15/11/2010,10.53,-0.000949217
12/11/2010,10.54,-0.015066198
11/11/2010,10.7,0.001870908
10/11/2010,10.68,0.027529028
09/11/2010,10.39,-0.013384521
08/11/2010,10.53,-0.010392158
05/11/2010,10.64,0.024739606
04/11/2010,10.38,0
03/11/2010,10.38,-0.008633147
02/11/2010,10.47,0.026126305
01/11/2010,10.2,-0.014598799
29/10/2010,10.35,-0.006740517
28/10/2010,10.42,-0.009551171
27/10/2010,10.52,-0.007575794
26/10/2010,10.6,-0.001885015
25/10/2010,10.62,0.018052747
22/10/2010,10.43,-0.013333531
21/10/2010,10.57,-0.000945627
20/10/2010,10.58,0.032663807
19/10/2010,10.24,-0.036437396
18/10/2010,10.62,-0.017732616
15/10/2010,10.81,0.023398353
14/10/2010,10.56,-0.015970278
13/10/2010,10.73,0.007483664
12/10/2010,10.65,-0.005617992
11/10/2010,10.71,0.02266386
08/10/2010,10.47,0.021236319
07/10/2010,10.25,0
06/10/2010,10.25,-0.023144717
05/10/2010,10.49,0.049839332
04/10/2010,9.98,-0.016890615
01/10/2010,10.15,0.011893104
30/09/2010,10.03,-0.000996512
29/09/2010,10.04,-0.008924204
28/09/2010,10.13,-0.003940892
27/09/2010,10.17,0.009881503
24/09/2010,10.07,0.043639598
23/09/2010,9.64,-0.001036807
22/09/2010,9.65,-0.011334485
21/09/2010,9.76,-0.013231745
20/09/2010,9.89,0.02456623
17/09/2010,9.65,0.046668065
16/09/2010,9.21,-0.023606246
15/09/2010,9.43,-0.014737109
14/09/2010,9.57,-0.004171018
13/09/2010,9.61,0.007310738
10/09/2010,9.54,0.035203635
09/09/2010,9.21,0.003262646
08/09/2010,9.18,0.019802627
07/09/2010,9,-0.021978907
03/09/2010,9.2,0.018651117
02/09/2010,9.03,0.024664927
01/09/2010,8.81,0.032298078
31/08/2010,8.53,0.005878912
30/08/2010,8.48,-0.024462489
27/08/2010,8.69,0.010410736
26/08/2010,8.6,0.00583092
25/08/2010,8.55,0.014134511
24/08/2010,8.43,0.002375298
23/08/2010,8.41,-0.018846259
20/08/2010,8.57,0.004678371
19/08/2010,8.53,-0.013969959
18/08/2010,8.65,-0.001155402
17/08/2010,8.66,0.01044699
16/08/2010,8.57,-0.00813485
13/08/2010,8.64,-0.005770356
12/08/2010,8.69,-0.02275411
11/08/2010,8.89,-0.047235579
10/08/2010,9.32,-0.02855826
09/08/2010,9.59,0.031782336
06/08/2010,9.29,-0.01070674
05/08/2010,9.39,0.024799115
04/08/2010,9.16,0.02431059
03/08/2010,8.94,-0.029754261
02/08/2010,9.21,0.007629465
30/07/2010,9.14,0.017660503
29/07/2010,8.98,0.084786682
28/07/2010,8.25,-0.008449054
27/07/2010,8.32,-0.00718566
26/07/2010,8.38,0.024155764
23/07/2010,8.18,0.018507623
22/07/2010,8.03,0.049786925
21/07/2010,7.64,-0.030930301
20/07/2010,7.88,0.044105722
19/07/2010,7.54,0.029611854
16/07/2010,7.32,-0.067352182
15/07/2010,7.83,-0.002551022
14/07/2010,7.85,-0.006349228
13/07/2010,7.9,0.028243212
12/07/2010,7.68,-0.005194817
09/07/2010,7.72,0.011726519
08/07/2010,7.63,0.042844572
07/07/2010,7.31,0.02914849
06/07/2010,7.1,0.024234971
02/07/2010,6.93,-0.010050336
01/07/2010,7,-0.018401085
30/06/2010,7.13,-0.019445057
29/06/2010,7.27,-0.03513875
28/06/2010,7.53,-0.023623146
25/06/2010,7.71,-0.031910812
24/06/2010,7.96,-0.0357842
23/06/2010,8.25,0.010969031
22/06/2010,8.16,-0.01821544
21/06/2010,8.31,-0.001202646
18/06/2010,8.32,0.006027746
17/06/2010,8.27,0.025720953
16/06/2010,8.06,-0.003715175
15/06/2010,8.09,0.014944238
14/06/2010,7.97,-0.001253919
11/06/2010,7.98,-0.011215071
10/06/2010,8.07,0.052141499
09/06/2010,7.66,0.002614381
08/06/2010,7.64,0.015831465
07/06/2010,7.52,-0.041672696
04/06/2010,7.84,-0.058220775
03/06/2010,8.31,0.023129455
02/06/2010,8.12,0.024938948
01/06/2010,7.92,-0.052870333
28/05/2010,8.35,-0.027172375
27/05/2010,8.58,0.080042708
26/05/2010,7.92,0.015267472
25/05/2010,7.8,-0.008934329
24/05/2010,7.87,0.012787898
21/05/2010,7.77,0.024756965
20/05/2010,7.58,-0.04134956
19/05/2010,7.9,-0.017566324
18/05/2010,8.04,-0.006199648
17/05/2010,8.09,0.00495664
14/05/2010,8.05,-0.040175823
13/05/2010,8.38,-0.004761914
12/05/2010,8.42,0.030140919
11/05/2010,8.17,-0.022989518
10/05/2010,8.36,0.079644063
07/05/2010,7.72,-0.041857727
06/05/2010,8.05,-0.042559614
05/05/2010,8.4,-0.005934736
04/05/2010,8.45,-0.061946407
03/05/2010,8.99,0.008938607
30/04/2010,8.91,-0.064117557
29/04/2010,9.5,0.024508419
28/04/2010,9.27,-0.016051709
27/04/2010,9.42,-0.046664765
26/04/2010,9.87,0.014285957
23/04/2010,9.73,-0.012257559
22/04/2010,9.85,0.021550347
21/04/2010,9.64,-0.010320009
20/04/2010,9.74,0.072371998
19/04/2010,9.06,0.011098893
16/04/2010,8.96,-0.028604811
15/04/2010,9.22,0.01861028
14/04/2010,9.05,0.046362175
13/04/2010,8.64,-0.014934224
12/04/2010,8.77,0.005717568
09/04/2010,8.72,0.029088729
08/04/2010,8.47,-0.008230499
07/04/2010,8.54,0.002344667
06/04/2010,8.52,-0.01745245
05/04/2010,8.67,0.02097979
01/04/2010,8.49,0.020226745
31/03/2010,8.32,-0.021403909
30/03/2010,8.5,0.001177163
29/03/2010,8.49,0.019025544
26/03/2010,8.33,-0.007177064
25/03/2010,8.39,-0.016548841
24/03/2010,8.53,-0.03002535
23/03/2010,8.79,0.006849342
22/03/2010,8.73,0.013841051
19/03/2010,8.61,-0.003478264
18/03/2010,8.64,0.011641575
17/03/2010,8.54,0.012964236
16/03/2010,8.43,0.010733556
15/03/2010,8.34,-0.009546612
12/03/2010,8.42,-0.012979533
11/03/2010,8.53,-0.005844552
10/03/2010,8.58,0.007017573
09/03/2010,8.52,0.001174398
08/03/2010,8.51,0.007075501
05/03/2010,8.45,0.019116472
04/03/2010,8.29,0.013357819
03/03/2010,8.18,0.001223242
02/03/2010,8.17,-0.010955679
