Date,Close,LH
15/08/2011,84.74,0.020265326
12/08/2011,83.04,0.002894358
11/08/2011,82.8,0.035902553
10/08/2011,79.88,-0.050886351
09/08/2011,84.05,0.036469
08/08/2011,81.04,-0.059753213
05/08/2011,86.03,0.006647642
04/08/2011,85.46,-0.031218339
03/08/2011,88.17,0.006485771
02/08/2011,87.6,-0.012929748
01/08/2011,88.74,-0.022507914
29/07/2011,90.76,0.004416968
28/07/2011,90.36,0.002215822
27/07/2011,90.16,-0.018135354
26/07/2011,91.81,-0.003370851
25/07/2011,92.12,-0.010582109
22/07/2011,93.1,-0.014608139
21/07/2011,94.47,-0.022192892
20/07/2011,96.59,-0.004029555
19/07/2011,96.98,0.020838429
18/07/2011,94.98,-0.007865386
15/07/2011,95.73,0.005656835
14/07/2011,95.19,0.001998003
13/07/2011,95,-0.016908868
12/07/2011,96.62,-0.004749622
11/07/2011,97.08,-0.012183412
08/07/2011,98.27,-0.008006935
07/07/2011,99.06,-0.000302801
06/07/2011,99.09,0.009633497
05/07/2011,98.14,-0.002849005
01/07/2011,98.42,0.016700352
30/06/2011,96.79,0.017194192
29/06/2011,95.14,-0.006913194
28/06/2011,95.8,0.005547719
27/06/2011,95.27,0.008009317
24/06/2011,94.51,-0.008953554
23/06/2011,95.36,-0.012194638
22/06/2011,96.53,-0.006299396
21/06/2011,97.14,0.00020591
20/06/2011,97.12,0.006404319
17/06/2011,96.5,0.000829359
16/06/2011,96.42,0.006659754
15/06/2011,95.78,-0.005725902
14/06/2011,96.33,0.009910884
13/06/2011,95.38,-0.001676095
10/06/2011,95.54,-0.00854617
09/06/2011,96.36,0.003430535
08/06/2011,96.03,-0.000832726
07/06/2011,96.11,-0.000935989
06/06/2011,96.2,-0.009414999
03/06/2011,97.11,-0.012688188
02/06/2011,98.35,-0.00668831
01/06/2011,99.01,-0.018215075
31/05/2011,100.83,0.008465764
27/05/2011,99.98,0.010557637
26/05/2011,98.93,0.000202184
25/05/2011,98.91,0.003341944
24/05/2011,98.58,-0.004352454
23/05/2011,99.01,-0.015931403
20/05/2011,100.6,-0.001192132
19/05/2011,100.72,0.006874249
18/05/2011,100.03,0.000299955
17/05/2011,100,0.006018072
16/05/2011,99.4,-0.003314421
13/05/2011,99.73,-0.002703652
12/05/2011,100,0.015215166
11/05/2011,98.49,-0.004154218
10/05/2011,98.9,0.004255757
09/05/2011,98.48,0.009078453
06/05/2011,97.59,0.012580079
05/05/2011,96.37,0.005201843
04/05/2011,95.87,-0.003955866
03/05/2011,96.25,-0.020566278
02/05/2011,98.25,0.018283172
29/04/2011,96.47,0.007178184
28/04/2011,95.78,0.000208834
27/04/2011,95.76,0.00649557
26/04/2011,95.14,-0.002519422
25/04/2011,95.38,-0.012502768
21/04/2011,96.58,-0.002172003
20/04/2011,96.79,0.005386939
19/04/2011,96.27,0.016865219
18/04/2011,94.66,-0.011866771
15/04/2011,95.79,0.007650024
14/04/2011,95.06,0.008027082
13/04/2011,94.3,0.00659647
12/04/2011,93.68,0.002993374
11/04/2011,93.4,0.006229211
08/04/2011,92.82,-0.011674743
07/04/2011,93.91,-0.000638706
06/04/2011,93.97,0.003411154
05/04/2011,93.65,0.000961487
04/04/2011,93.56,0.007509959
01/04/2011,92.86,0.007892359
31/03/2011,92.13,0.006096916
30/03/2011,91.57,0.008995234
29/03/2011,90.75,0.012864767
28/03/2011,89.59,0.008294152
25/03/2011,88.85,0.005303855
24/03/2011,88.38,0.014588816
23/03/2011,87.1,-0.00320954
22/03/2011,87.38,0.007351285
21/03/2011,86.74,-0.00299298
18/03/2011,87,-0.003556885
17/03/2011,87.31,0.001948983
16/03/2011,87.14,-0.014469065
15/03/2011,88.41,-0.013928115
14/03/2011,89.65,-0.004562915
11/03/2011,90.06,0.001110988
10/03/2011,89.96,-0.021009407
09/03/2011,91.87,-0.003260164
08/03/2011,92.17,0.011347639
07/03/2011,91.13,-0.013623446
04/03/2011,92.38,0.012088358
03/03/2011,91.27,0.020925203
02/03/2011,89.38,0.00437294
01/03/2011,88.99,-0.012729069
28/02/2011,90.13,0.005005294
25/02/2011,89.68,0.01494158
24/02/2011,88.35,-0.003502631
23/02/2011,88.66,0.011571315
22/02/2011,87.64,-0.015511208
18/02/2011,89.01,0.01266269
17/02/2011,87.89,-0.00488055
16/02/2011,88.32,0.007386817
15/02/2011,87.67,-0.000684151
14/02/2011,87.73,-0.000683683
11/02/2011,87.79,0.000683683
10/02/2011,87.73,-0.033734358
09/02/2011,90.74,0.000551177
08/02/2011,90.69,0.004198901
07/02/2011,90.31,-0.000996071
04/02/2011,90.4,0.005101486
03/02/2011,89.94,0.007029318
02/02/2011,89.31,0.005389033
01/02/2011,88.83,-0.012084739
31/01/2011,89.91,-0.007313862
28/01/2011,90.57,-0.018704401
27/01/2011,92.28,-0.002921606
26/01/2011,92.55,0.01732919
25/01/2011,90.96,0.014172071
24/01/2011,89.68,-0.000891663
21/01/2011,89.76,-0.003558723
20/01/2011,90.08,0.001888994
19/01/2011,89.91,-0.008196767
18/01/2011,90.65,-0.005500564
14/01/2011,91.15,-0.007214723
13/01/2011,91.81,0.00710502
12/01/2011,91.16,0.004177207
11/01/2011,90.78,0.018455221
10/01/2011,89.12,-0.006152489
07/01/2011,89.67,-0.001003177
06/01/2011,89.76,-0.007104826
05/01/2011,90.4,0.003102152
04/01/2011,90.12,0.005898409
03/01/2011,89.59,0.018816397
31/12/2010,87.92,-0.007930256
30/12/2010,88.62,0.006225613
29/12/2010,88.07,-0.000794507
28/12/2010,88.14,-0.00034031
27/12/2010,88.17,-0.000566926
23/12/2010,88.22,-0.006778155
22/12/2010,88.82,0.003270372
21/12/2010,88.53,0.003621142
20/12/2010,88.21,-0.008016754
17/12/2010,88.92,0.004508574
16/12/2010,88.52,0.021466912
15/12/2010,86.64,0.012894411
14/12/2010,85.53,0.019360775
