Date,Close,VFC
19/11/2010,82.55,0.012678458
18/11/2010,81.51,0.009987137
17/11/2010,80.7,0.024333322
16/11/2010,78.76,-0.012616872
15/11/2010,79.76,0.005027663
12/11/2010,79.36,-0.018724801
11/11/2010,80.86,0.005332023
10/11/2010,80.43,-0.031814747
09/11/2010,83.03,-0.015535685
08/11/2010,84.33,-0.007560579
05/11/2010,84.97,0.017092404
04/11/2010,83.53,0.005040817
03/11/2010,83.11,-0.002643597
02/11/2010,83.33,0.000720288
01/11/2010,83.27,0.000360339
29/10/2010,83.24,-0.007182219
28/10/2010,83.84,0.011154538
27/10/2010,82.91,-0.032396782
26/10/2010,85.64,0.004564348
25/10/2010,85.25,-0.00875918
22/10/2010,86,0.00946324
21/10/2010,85.19,-0.02629749
20/10/2010,87.46,0.021379447
19/10/2010,85.61,-0.011151236
18/10/2010,86.57,0.006954937
15/10/2010,85.97,0.00034902
14/10/2010,85.94,0.01524241
13/10/2010,84.64,-0.002713706
12/10/2010,84.87,-0.004350133
11/10/2010,85.24,0.010733134
08/10/2010,84.33,0.022303083
07/10/2010,82.47,0.001941984
06/10/2010,82.31,-0.003517074
05/10/2010,82.6,0.02190896
04/10/2010,80.81,-0.000123739
01/10/2010,80.82,-0.002471578
30/09/2010,81.02,0.002100452
29/09/2010,80.85,0.00160921
28/09/2010,80.72,0.013093273
27/09/2010,79.67,0.008192118
24/09/2010,79.02,0.021877672
23/09/2010,77.31,-0.008115987
22/09/2010,77.94,-0.006394701
21/09/2010,78.44,-0.00610068
20/09/2010,78.92,0.018414843
17/09/2010,77.48,-0.001547589
16/09/2010,77.6,-0.005654089
15/09/2010,78.04,0.010951601
14/09/2010,77.19,0.012777227
13/09/2010,76.21,0.00922759
10/09/2010,75.51,0.005844086
09/09/2010,75.07,-0.000266383
08/09/2010,75.09,0.00346852
07/09/2010,74.83,-0.009972824
03/09/2010,75.58,0.017484596
02/09/2010,74.27,0.013828854
01/09/2010,73.25,0.037273123
