Date,Close,SNDK
10/01/2011,53.24,0.016476085
07/01/2011,52.37,-0.006850645
06/01/2011,52.73,0.009144663
05/01/2011,52.25,0.027946705
04/01/2011,50.81,-0.008427291
03/01/2011,51.24,0.027301399
31/12/2010,49.86,-0.009978131
30/12/2010,50.36,0.011583912
29/12/2010,49.78,-0.007405217
28/12/2010,50.15,-0.013861608
27/12/2010,50.85,0.008690554
23/12/2010,50.41,-0.011832124
22/12/2010,51.01,-0.012274874
21/12/2010,51.64,0.048199711
20/12/2010,49.21,0.006933144
17/12/2010,48.87,0.003690041
16/12/2010,48.69,0.010529673
15/12/2010,48.18,-0.024601487
14/12/2010,49.38,-0.009874136
13/12/2010,49.87,0.005428786
10/12/2010,49.6,0.040318089
09/12/2010,47.64,-0.00523397
08/12/2010,47.89,0.002927647
07/12/2010,47.75,0.00062847
06/12/2010,47.72,-0.012287981
03/12/2010,48.31,0.006437568
02/12/2010,48,0.023183335
01/12/2010,46.9,0.050283816
30/11/2010,44.6,-0.013805608
29/11/2010,45.22,0.005988706
26/11/2010,44.95,-0.001333926
24/11/2010,45.01,0.046615237
23/11/2010,42.96,0.00911967
22/11/2010,42.57,0.062770451
19/11/2010,39.98,0.037980862
18/11/2010,38.49,0.014656112
17/11/2010,37.93,-0.007616583
16/11/2010,38.22,-0.024552209
15/11/2010,39.17,-0.010160108
12/11/2010,39.57,-0.021253457
11/11/2010,40.42,0.003469644
10/11/2010,40.28,0.009980123
09/11/2010,39.88,-0.036681035
08/11/2010,41.37,0.001451379
05/11/2010,41.31,0.023513207
04/11/2010,40.35,0.057377113
03/11/2010,38.1,0.017474631
02/11/2010,37.44,0.002139038
01/11/2010,37.36,-0.007200991
29/10/2010,37.63,-0.01109948
28/10/2010,38.05,0.004741842
27/10/2010,37.87,0.018119334
26/10/2010,37.19,-0.00589814
25/10/2010,37.41,0.011290443
22/10/2010,36.99,-0.003508302
21/10/2010,37.12,-0.031555051
20/10/2010,38.31,0.004709585
19/10/2010,38.13,-0.020249913
18/10/2010,38.91,-0.007680529
15/10/2010,39.21,0.013092216
14/10/2010,38.7,-0.031538728
13/10/2010,39.94,-0.003249597
12/10/2010,40.07,0.015847395
11/10/2010,39.44,-0.002026343
08/10/2010,39.52,0.059154928
07/10/2010,37.25,-0.001877431
06/10/2010,37.32,-0.008537939
05/10/2010,37.64,0.036800689
04/10/2010,36.28,-0.02046177
01/10/2010,37.03,0.010314967
30/09/2010,36.65,-0.026653886
29/09/2010,37.64,0.045104086
28/09/2010,35.98,0.002504523
27/09/2010,35.89,0.001115138
24/09/2010,35.85,0.016027336
23/09/2010,35.28,-0.013234038
22/09/2010,35.75,0.007863
21/09/2010,35.47,-0.062563072
20/09/2010,37.76,-0.009488738
17/09/2010,38.12,-0.030739861
16/09/2010,39.31,-0.01062763
15/09/2010,39.73,0.005552765
14/09/2010,39.51,0.018391323
13/09/2010,38.79,0.048867507
10/09/2010,36.94,-0.026974529
09/09/2010,37.95,0.01166194
08/09/2010,37.51,0.024286137
07/09/2010,36.61,-0.00924422
03/09/2010,36.95,0.02576897
02/09/2010,36.01,0.033891976
01/09/2010,34.81,0.049465486
31/08/2010,33.13,-0.033539277
30/08/2010,34.26,0.002045289
27/08/2010,34.19,-0.045455874
26/08/2010,35.78,-0.053861263
25/08/2010,37.76,-0.013415958
24/08/2010,38.27,-0.062298622
23/08/2010,40.73,-0.018728506
20/08/2010,41.5,-0.0095924
19/08/2010,41.9,-0.068260702
18/08/2010,44.86,0.029177689
17/08/2010,43.57,0.024629498
16/08/2010,42.51,0.023082524
13/08/2010,41.54,-0.016237224
12/08/2010,42.22,-0.014344749
11/08/2010,42.83,-0.062668925
10/08/2010,45.6,-0.016744982
09/08/2010,46.37,0.026883927
06/08/2010,45.14,-0.012329527
05/08/2010,45.7,-0.01153064
04/08/2010,46.23,0.025190249
03/08/2010,45.08,-0.00508907
02/08/2010,45.31,0.036179657
30/07/2010,43.7,0.00114482
29/07/2010,43.65,0.013376583
28/07/2010,43.07,-0.010623656
27/07/2010,43.53,0.026066172
26/07/2010,42.41,0.023378927
23/07/2010,41.43,-0.039517741
22/07/2010,43.1,0.02300031
21/07/2010,42.12,-0.003791474
20/07/2010,42.28,0.011657085
19/07/2010,41.79,-0.003344485
16/07/2010,41.93,-0.047506022
15/07/2010,43.97,-0.026039631
14/07/2010,45.13,-0.012769879
13/07/2010,45.71,-0.002185316
12/07/2010,45.81,0.065630582
09/07/2010,42.9,-0.01480823
08/07/2010,43.54,0.0002297
07/07/2010,43.53,0.041271977
06/07/2010,41.77,0.007208104
02/07/2010,41.47,-0.016738794
01/07/2010,42.17,0.00237417
30/06/2010,42.07,-0.013457882
29/06/2010,42.64,-0.072364293
28/06/2010,45.84,-0.005655878
25/06/2010,46.1,0.006528859
24/06/2010,45.8,-0.023093721
23/06/2010,46.87,-0.00447047
22/06/2010,47.08,-0.020185715
21/06/2010,48.04,-0.020194381
18/06/2010,49.02,-0.013776555
17/06/2010,49.7,0.006256959
16/06/2010,49.39,0.014479706
15/06/2010,48.68,0.027912664
14/06/2010,47.34,0.059621745
11/06/2010,44.6,0.002469414
10/06/2010,44.49,0.039895249
09/06/2010,42.75,-0.006528351
08/06/2010,43.03,-0.004405804
07/06/2010,43.22,-0.03768891
04/06/2010,44.88,-0.04828074
03/06/2010,47.1,0.014327199
02/06/2010,46.43,0.031283312
01/06/2010,45,-0.035367144
28/05/2010,46.62,-0.004921375
27/05/2010,46.85,0.072811711
