Date,Close,BHI
15/09/2010,39.99,-0.003494761
14/09/2010,40.13,-0.00769521
13/09/2010,40.44,0.026307417
10/09/2010,39.39,0.009181396
09/09/2010,39.03,-0.009942721
08/09/2010,39.42,0.014307858
07/09/2010,38.86,-0.016082031
03/09/2010,39.49,-0.00555557
02/09/2010,39.71,0.005302373
01/09/2010,39.5,0.049828678
31/08/2010,37.58,-0.014791606
30/08/2010,38.14,-0.015092662
27/08/2010,38.72,0.029618205
26/08/2010,37.59,-0.035283942
25/08/2010,38.94,0.003859518
24/08/2010,38.79,-0.005655542
23/08/2010,39.01,0
20/08/2010,39.01,-0.018791818
19/08/2010,39.75,-0.023372521
18/08/2010,40.69,-0.007589705
17/08/2010,41,0.026444146
16/08/2010,39.93,0.003512297
13/08/2010,39.79,-0.003762704
12/08/2010,39.94,-0.00623988
11/08/2010,40.19,-0.021172627
10/08/2010,41.05,-0.01882295
09/08/2010,41.83,0.002393491
06/08/2010,41.73,-0.017813082
05/08/2010,42.48,-0.008205415
04/08/2010,42.83,-0.019193559
03/08/2010,43.66,-0.140180107
02/08/2010,50.23,0.039802208
30/07/2010,48.27,-0.002276256
29/07/2010,48.38,-0.01028181
28/07/2010,48.88,-0.000204562
27/07/2010,48.89,-0.016230829
26/07/2010,49.69,0.012555856
23/07/2010,49.07,-0.006904983
22/07/2010,49.41,0.023549773
21/07/2010,48.26,-0.018680621
20/07/2010,49.17,0.030352284
19/07/2010,47.7,0.036290001
16/07/2010,46,-0.024904679
15/07/2010,47.16,0.00446287
14/07/2010,46.95,0.005553197
13/07/2010,46.69,0.014671245
12/07/2010,46.01,-0.005418893
09/07/2010,46.26,0.001514332
08/07/2010,46.19,0.022994553
07/07/2010,45.14,0.027171313
06/07/2010,43.93,0.037810372
02/07/2010,42.3,0.013566791
01/07/2010,41.73,0.003841541
30/06/2010,41.57,0.01771676
29/06/2010,40.84,-0.028007625
28/06/2010,42,-0.017699577
25/06/2010,42.75,0.029434833
24/06/2010,41.51,-0.024040191
23/06/2010,42.52,0.008739869
22/06/2010,42.15,-0.044998315
21/06/2010,44.09,-0.013069136
18/06/2010,44.67,0.018299392
17/06/2010,43.86,-0.002732242
16/06/2010,43.98,0.008907219
15/06/2010,43.59,0.038587741
14/06/2010,41.94,-0.015848942
11/06/2010,42.61,0.004469018
10/06/2010,42.42,0.100865421
09/06/2010,38.35,0.00444271
08/06/2010,38.18,0.002885248
07/06/2010,38.07,-0.010452146
04/06/2010,38.47,-0.023379356
03/06/2010,39.38,-0.006328334
02/06/2010,39.63,0.099685116
01/06/2010,35.87,-0.061362309
28/05/2010,38.14,-0.074501183
27/05/2010,41.09,0.01101198
26/05/2010,40.64,0.000246093
25/05/2010,40.63,0.00592448
24/05/2010,40.39,-0.035031556
21/05/2010,41.83,0.027140023
20/05/2010,40.71,-0.071560603
19/05/2010,43.73,-0.017454824
18/05/2010,44.5,-0.018479876
17/05/2010,45.33,-0.000882029
14/05/2010,45.37,-0.030390878
13/05/2010,46.77,-0.013802109
12/05/2010,47.42,0.015299916
11/05/2010,46.7,-0.009589844
10/05/2010,47.15,0.063478638
07/05/2010,44.25,-0.035083527
06/05/2010,45.83,-0.031994141
05/05/2010,47.32,-0.01301719
04/05/2010,47.94,-0.056370081
03/05/2010,50.72,0.019108862
30/04/2010,49.76,-0.032815753
29/04/2010,51.42,0.003506725
28/04/2010,51.24,0.005872007
27/04/2010,50.94,-0.056110882
26/04/2010,53.88,-0.005552485
23/04/2010,54.18,0.044921687
22/04/2010,51.8,0.017723709
21/04/2010,50.89,0.01186019
20/04/2010,50.29,0.054343435
19/04/2010,47.63,0.0025226
16/04/2010,47.51,-0.032511405
15/04/2010,49.08,-0.003863757
14/04/2010,49.27,0.021748908
13/04/2010,48.21,-0.01277841
12/04/2010,48.83,-0.000204771
09/04/2010,48.84,0.002049601
08/04/2010,48.74,-0.00532025
07/04/2010,49,-0.018601426
06/04/2010,49.92,0.004819286
05/04/2010,49.68,0.027549952
01/04/2010,48.33,0.031314947
31/03/2010,46.84,0.01918369
30/03/2010,45.95,0.006550242
29/03/2010,45.65,0.017234187
26/03/2010,44.87,0
25/03/2010,44.87,-0.036757584
24/03/2010,46.55,-0.012170536
23/03/2010,47.12,-0.007821623
22/03/2010,47.49,-0.000841928
19/03/2010,47.53,-0.037981862
18/03/2010,49.37,-0.049204828
17/03/2010,51.86,0.015938141
16/03/2010,51.04,0.023190019
15/03/2010,49.87,-0.003403066
12/03/2010,50.04,0.00119976
11/03/2010,49.98,0
10/03/2010,49.98,0.000800641
09/03/2010,49.94,-0.007977705
08/03/2010,50.34,-0.010866451
05/03/2010,50.89,0.019244717
04/03/2010,49.92,-0.001601281
03/03/2010,50,0.015519812
02/03/2010,49.23,0.018864615
01/03/2010,48.31,0.008105625
26/02/2010,47.92,0.000626239
