Date,Close,R
26/09/2012,38.7,-0.009259325
25/09/2012,39.06,-0.029514061
24/09/2012,40.23,0.005483563
21/09/2012,40.01,-0.012666257
20/09/2012,40.52,-0.030143264
19/09/2012,41.76,0.0118031
18/09/2012,41.27,-0.010125448
17/09/2012,41.69,-0.030706239
14/09/2012,42.99,-0.000697593
13/09/2012,43.02,0.008169027
12/09/2012,42.67,-0.002106989
11/09/2012,42.76,0.008926533
10/09/2012,42.38,0.016895107
07/09/2012,41.67,0.015721693
06/09/2012,41.02,0.029941616
05/09/2012,39.81,-0.005011286
04/09/2012,40.01,0
31/08/2012,40.01,0.005011286
30/08/2012,39.81,-0.008753338
29/08/2012,40.16,-0.006947919
28/08/2012,40.44,-0.004441162
27/08/2012,40.62,0.003205526
24/08/2012,40.49,-0.003205526
23/08/2012,40.62,-0.013934952
22/08/2012,41.19,-0.018521275
21/08/2012,41.96,0.000238351
20/08/2012,41.95,-0.015141051
17/08/2012,42.59,0.023519317
16/08/2012,41.6,0.007964324
15/08/2012,41.27,0.009250309
14/08/2012,40.89,-0.004148877
13/08/2012,41.06,0.005617306
10/08/2012,40.83,0.006634746
09/08/2012,40.56,0.00568675
08/08/2012,40.33,0.008966436
07/08/2012,39.97,0.008290463
06/08/2012,39.64,0.006580636
03/08/2012,39.38,0.023119447
02/08/2012,38.48,-0.006475868
01/08/2012,38.73,-0.018166036
31/07/2012,39.44,0.004065046
30/07/2012,39.28,-0.002796493
27/07/2012,39.39,0.033560196
26/07/2012,38.09,0.015610848
25/07/2012,37.5,0.021019367
24/07/2012,36.72,0.057735281
23/07/2012,34.66,-0.013753798
20/07/2012,35.14,-0.018328442
19/07/2012,35.79,0.012936063
18/07/2012,35.33,0.013966309
17/07/2012,34.84,0.012418932
16/07/2012,34.41,-0.008104241
13/07/2012,34.69,0.037895561
12/07/2012,33.4,-0.0008978
11/07/2012,33.43,-0.005072367
10/07/2012,33.6,-0.022948933
09/07/2012,34.38,0.001455392
06/07/2012,34.33,-0.02161156
05/07/2012,35.08,-0.005118009
03/07/2012,35.26,-0.001417033
02/07/2012,35.31,-0.019630468
29/06/2012,36.01,0.029020208
28/06/2012,34.98,0.006309169
27/06/2012,34.76,0.004902677
26/06/2012,34.59,0.007253767
25/06/2012,34.34,-0.03153027
22/06/2012,35.44,-0.139614714
21/06/2012,40.75,-0.039928344
20/06/2012,42.41,-0.003295672
19/06/2012,42.55,0.005892769
18/06/2012,42.3,0.003789678
15/06/2012,42.14,0.024016524
14/06/2012,41.14,-0.002185262
13/06/2012,41.23,-0.022780028
12/06/2012,42.18,0.005467742
11/06/2012,41.95,-0.022393393
08/06/2012,42.9,0.003736576
07/06/2012,42.74,-0.002336996
06/06/2012,42.84,0.02793081
05/06/2012,41.66,0.003366197
04/06/2012,41.52,-0.004086053
01/06/2012,41.69,-0.035810658
31/05/2012,43.21,0.006268157
30/05/2012,42.94,-0.030955125
29/05/2012,44.29,0.015931152
25/05/2012,43.59,-0.011178399
24/05/2012,44.08,0.015777165
23/05/2012,43.39,0.022844816
22/05/2012,42.41,-0.001413761
21/05/2012,42.47,0.032789823
18/05/2012,41.1,-0.024039619
17/05/2012,42.1,-0.034321099
16/05/2012,43.57,-0.015486531
15/05/2012,44.25,-0.003834447
14/05/2012,44.42,-0.017849648
11/05/2012,45.22,-0.005733202
10/05/2012,45.48,-0.014190829
09/05/2012,46.13,-0.016127648
08/05/2012,46.88,0.005776035
07/05/2012,46.61,-0.013849161
04/05/2012,47.26,-0.031656121
03/05/2012,48.78,-0.022900991
02/05/2012,49.91,0.011688968
01/05/2012,49.33,0.012442792
30/04/2012,48.72,-0.010210422
27/04/2012,49.22,0.003867689
26/04/2012,49.03,0.001020304
25/04/2012,48.98,0.011705648
24/04/2012,48.41,0.000619899
23/04/2012,48.38,-0.016807118
20/04/2012,49.2,0.003461268
19/04/2012,49.03,-0.011961623
