Date,Close,LO
25/05/2012,124.84,-0.026402609
24/05/2012,128.18,0.018980684
23/05/2012,125.77,0.004143102
22/05/2012,125.25,-0.007476968
21/05/2012,126.19,0.00867529
18/05/2012,125.1,-0.002315463
17/05/2012,125.39,-0.016138314
16/05/2012,127.43,0.006771679
15/05/2012,126.57,-0.018706764
14/05/2012,128.96,0.001396757
11/05/2012,128.78,0.005138197
10/05/2012,128.12,0.004929395
09/05/2012,127.49,-0.025096197
08/05/2012,130.73,0.001224646
07/05/2012,130.57,-0.015804599
04/05/2012,132.65,-0.009901814
03/05/2012,133.97,-7.46408E-05
02/05/2012,133.98,0.00313972
01/05/2012,133.56,-0.012869808
30/04/2012,135.29,-0.00295225
27/04/2012,135.69,0.007471278
26/04/2012,134.68,0.03898908
25/04/2012,129.53,-0.040028041
24/04/2012,134.82,-0.016551189
23/04/2012,137.07,-0.006399556
20/04/2012,137.95,0.012399867
19/04/2012,136.25,-0.00468625
18/04/2012,136.89,0.020964819
17/04/2012,134.05,-0.002533156
16/04/2012,134.39,-0.025637721
13/04/2012,137.88,0.013287777
12/04/2012,136.06,-0.000514347
11/04/2012,136.13,0.011674434
10/04/2012,134.55,-0.013655868
09/04/2012,136.4,-0.000439786
05/04/2012,136.46,0.006469659
04/04/2012,135.58,0.016284704
03/04/2012,133.39,0.011839813
02/04/2012,131.82,0.017910927
30/03/2012,129.48,-0.014186811
29/03/2012,131.33,0.007566819
28/03/2012,130.34,-0.011290935
27/03/2012,131.82,0.003571839
26/03/2012,131.35,0.00114264
23/03/2012,131.2,0.013737218
22/03/2012,129.41,-0.011982631
21/03/2012,130.97,0.00436164
20/03/2012,130.4,-0.011816413
19/03/2012,131.95,0.01074337
16/03/2012,130.54,0.001073044
15/03/2012,130.4,0.001919018
14/03/2012,130.15,-0.008187672
13/03/2012,131.22,0.00987946
12/03/2012,129.93,0.007881357
09/03/2012,128.91,-0.011031934
08/03/2012,130.34,0.018116157
07/03/2012,128,-0.000546726
06/03/2012,128.07,-0.002417626
05/03/2012,128.38,-0.00349909
02/03/2012,128.83,-0.008194233
01/03/2012,129.89,-0.009119885
29/02/2012,131.08,0.011277882
28/02/2012,129.61,-0.00737954
27/02/2012,130.57,0.004298111
24/02/2012,130.01,0.008729632
23/02/2012,128.88,-0.000775615
22/02/2012,128.98,-0.000620059
21/02/2012,129.06,0.015696703
17/02/2012,127.05,0.008298803
16/02/2012,126,0.01737225
15/02/2012,123.83,0.00884136
14/02/2012,122.74,0.002283851
13/02/2012,122.46,-0.000979432
10/02/2012,122.58,-0.014497116
09/02/2012,124.37,0.092692398
08/02/2012,113.36,0.003092285
07/02/2012,113.01,0.007282448
06/02/2012,112.19,0.005541666
03/02/2012,111.57,0.017814822
02/02/2012,109.6,0.019253508
01/02/2012,107.51,0.001116799
31/01/2012,107.39,-0.020279062
30/01/2012,109.59,0.019441346
27/01/2012,107.48,-0.035642994
26/01/2012,111.38,-0.02684071
25/01/2012,114.41,0.020664812
24/01/2012,112.07,0.016282463
23/01/2012,110.26,0.005183008
20/01/2012,109.69,-0.005908302
19/01/2012,110.34,-0.023732811
18/01/2012,112.99,-0.009074552
17/01/2012,114.02,0.008101488
13/01/2012,113.1,0.009148707
12/01/2012,112.07,0
11/01/2012,112.07,-0.015845947
10/01/2012,113.86,-0.004206842
09/01/2012,114.34,0.00245184
06/01/2012,114.06,-0.000262985
05/01/2012,114.09,0.012435668
04/01/2012,112.68,-0.005222406
03/01/2012,113.27,-0.006424099
30/12/2011,114,-0.008211805
29/12/2011,114.94,0.00532125
28/12/2011,114.33,0.002715132
27/12/2011,114.02,0.003074358
23/12/2011,113.67,0.013105651
22/12/2011,112.19,-0.002759359
21/12/2011,112.5,0.012882626
20/12/2011,111.06,0.020191682
19/12/2011,108.84,0.007469948
16/12/2011,108.03,-0.014702093
15/12/2011,109.63,0.011559762
14/12/2011,108.37,-0.012927065
13/12/2011,109.78,0.008232005
12/12/2011,108.88,-0.003850037
09/12/2011,109.3,0.001923166
08/12/2011,109.09,-0.0045729
07/12/2011,109.59,-0.010258362
06/12/2011,110.72,-0.002165284
05/12/2011,110.96,0.008507609
02/12/2011,110.02,-0.020689773
01/12/2011,112.32,0.006251695
30/11/2011,111.62,0.028073613
29/11/2011,108.53,-0.006795251
28/11/2011,109.27,0.005874271
25/11/2011,108.63,-0.000552181
23/11/2011,108.69,0.006739005
22/11/2011,107.96,-0.004436236
21/11/2011,108.44,-0.009636196
18/11/2011,109.49,-0.001733814
17/11/2011,109.68,-0.003458636
16/11/2011,110.06,0.009127482
15/11/2011,109.06,0.006900704
14/11/2011,108.31,-0.010835735
11/11/2011,109.49,0.016205124
10/11/2011,107.73,0.006051878
09/11/2011,107.08,-0.025357497
08/11/2011,109.83,-0.004632792
07/11/2011,110.34,0.00864703
04/11/2011,109.39,-0.005015284
03/11/2011,109.94,0.010607268
02/11/2011,108.78,0.006363281
01/11/2011,108.09,-0.023498224
31/10/2011,110.66,-0.035072623
28/10/2011,114.61,0.012643948
27/10/2011,113.17,0.010749448
26/10/2011,111.96,-0.01339682
25/10/2011,113.47,-0.01313274
24/10/2011,114.97,-0.005810692
21/10/2011,115.64,0.011305451
20/10/2011,114.34,0.002978017
19/10/2011,114,0.02091904
18/10/2011,111.64,-0.043469865
17/10/2011,116.6,-0.007944346
14/10/2011,117.53,0.008888188
13/10/2011,116.49,0.0037843
12/10/2011,116.05,-0.012672487
11/10/2011,117.53,-0.007966144
10/10/2011,118.47,0.0215007
07/10/2011,115.95,0.007097139
06/10/2011,115.13,0.027741641
05/10/2011,111.98,-0.000267869
04/10/2011,112.01,-0.00835709
03/10/2011,112.95,0.020121403
30/09/2011,110.7,0.005707313
29/09/2011,110.07,0.014274192
28/09/2011,108.51,-0.016270926
27/09/2011,110.29,0.005090457
26/09/2011,109.73,0.034583709
23/09/2011,106,-0.006113351
22/09/2011,106.65,-0.018303108
21/09/2011,108.62,-0.028408681
20/09/2011,111.75,0.001791313
19/09/2011,111.55,-0.00223864
16/09/2011,111.8,-0.000804685
15/09/2011,111.89,0.016944975
14/09/2011,110.01,0.003004235
13/09/2011,109.68,0.004111284
12/09/2011,109.23,0.015592879
09/09/2011,107.54,-0.017148019
08/09/2011,109.4,-0.009733101
07/09/2011,110.47,0.017164669
06/09/2011,108.59,-0.013537205
02/09/2011,110.07,-0.014700179
01/09/2011,111.7,0.002509861
31/08/2011,111.42,0.001886539
30/08/2011,111.21,-0.014196033
29/08/2011,112.8,0.024136473
26/08/2011,110.11,0.009123318
25/08/2011,109.11,-0.019693
24/08/2011,111.28,0.000179743
23/08/2011,111.26,0.021990891
22/08/2011,108.84,0.002023361
19/08/2011,108.62,0.009899697
18/08/2011,107.55,-0.007687714
17/08/2011,108.38,0.03016057
16/08/2011,105.16,-0.006256538
15/08/2011,105.82,0.040499171
12/08/2011,101.62,0.010286935
11/08/2011,100.58,0.008186129
10/08/2011,99.76,-0.01630579
09/08/2011,101.4,0.01300331
08/08/2011,100.09,-0.050268691
05/08/2011,105.25,0.017443417
04/08/2011,103.43,-0.033653366
03/08/2011,106.97,0.022500477
02/08/2011,104.59,-0.002673543
01/08/2011,104.87,-0.012790927
29/07/2011,106.22,0.005664668
28/07/2011,105.62,0.007984833
27/07/2011,104.78,-0.015248674
26/07/2011,106.39,-0.008423861
25/07/2011,107.29,-0.045549362
22/07/2011,112.29,-0.008248018
21/07/2011,113.22,0.030763378
20/07/2011,109.79,-0.006898457
19/07/2011,110.55,0.007809702
18/07/2011,109.69,-0.002458458
15/07/2011,109.96,0.003279289
14/07/2011,109.6,0.002466543
13/07/2011,109.33,0.002747758
12/07/2011,109.03,-0.005396766
11/07/2011,109.62,-0.011969675
08/07/2011,110.94,0.000992019
07/07/2011,110.83,0.008972734
06/07/2011,109.84,0.008043919
05/07/2011,108.96,-0.012948116
01/07/2011,110.38,0.013774448
30/06/2011,108.87,-0.002293684
29/06/2011,109.12,-9.1638E-05
28/06/2011,109.13,-0.018700618
27/06/2011,111.19,0.006315431
24/06/2011,110.49,0.009457195
23/06/2011,109.45,-0.005103447
22/06/2011,110.01,-0.016944975
21/06/2011,111.89,0.007085549
20/06/2011,111.1,-0.002157886
17/06/2011,111.34,0.013472784
16/06/2011,109.85,0.001092996
15/06/2011,109.73,-0.034572671
14/06/2011,113.59,0.111847258
13/06/2011,101.57,0.017079156
10/06/2011,99.85,-0.017964852
09/06/2011,101.66,0.021978907
08/06/2011,99.45,0.022884294
07/06/2011,97.2,-0.027398974
06/06/2011,99.9,-0.075458411
03/06/2011,107.73,-0.032061932
02/06/2011,111.24,-0.035326881
01/06/2011,115.24,-0.000347041
31/05/2011,115.28,0.00277971
27/05/2011,114.96,0
26/05/2011,114.96,0.009526795
25/05/2011,113.87,0
24/05/2011,113.87,-0.020599572
23/05/2011,116.24,-0.001117751
20/05/2011,116.37,0.001720135
19/05/2011,116.17,0.028552164
18/05/2011,112.9,0.007468029
17/05/2011,112.06,0.003486349
16/05/2011,111.67,0.00143382
13/05/2011,111.51,0.005575554
12/05/2011,110.89,0.017007367
11/05/2011,109.02,-0.002290532
10/05/2011,109.27,0.00219881
09/05/2011,109.03,0.003767521
06/05/2011,108.62,0.012786239
05/05/2011,107.24,0.005798202
04/05/2011,106.62,-0.008870687
03/05/2011,107.57,0.002792778
02/05/2011,107.27,0.007204035
29/04/2011,106.5,0.016091213
28/04/2011,104.8,0.005357839
27/04/2011,104.24,0.004904563
26/04/2011,103.73,0.040629205
25/04/2011,99.6,0.003923349
21/04/2011,99.21,0.000403266
20/04/2011,99.17,0.001412715
19/04/2011,99.03,0.012191556
18/04/2011,97.83,-0.011181251
15/04/2011,98.93,-0.014550455
14/04/2011,100.38,0.017993148
13/04/2011,98.59,0.011835665
12/04/2011,97.43,0.007417362
11/04/2011,96.71,0.004767837
08/04/2011,96.25,0.007927443
07/04/2011,95.49,-0.000942063
06/04/2011,95.58,-0.00448876
05/04/2011,96.01,0.00983889
