Date,Close,ABC
12/04/2011,39.6,-0.013544225
11/04/2011,40.14,-0.001493652
08/04/2011,40.2,-0.009408339
07/04/2011,40.58,0.000246457
06/04/2011,40.57,-0.000246457
05/04/2011,40.58,0.000246457
04/04/2011,40.57,0.005437483
01/04/2011,40.35,0.019772888
31/03/2011,39.56,0.002531006
30/03/2011,39.46,-0.006819069
29/03/2011,39.73,0.008848497
28/03/2011,39.38,0.00228804
25/03/2011,39.29,0.005871108
24/03/2011,39.06,0.023573168
23/03/2011,38.15,-0.003924138
22/03/2011,38.3,0.011818916
21/03/2011,37.85,0.014637653
18/03/2011,37.3,0.018398787
17/03/2011,36.62,0.000546299
16/03/2011,36.6,0.004381168
15/03/2011,36.44,-0.004927467
14/03/2011,36.62,-0.010863768
11/03/2011,37.02,-0.013948724
10/03/2011,37.54,-0.023951665
09/03/2011,38.45,0.023685318
08/03/2011,37.55,0.006680052
07/03/2011,37.3,-0.009870695
04/03/2011,37.67,0.001594049
03/03/2011,37.61,0.012037059
02/03/2011,37.16,-0.004028473
01/03/2011,37.31,-0.015953542
28/02/2011,37.91,0.013811641
25/02/2011,37.39,0.017809429
24/02/2011,36.73,-0.002990352
23/02/2011,36.84,-0.015086493
22/02/2011,37.4,-0.010373813
18/02/2011,37.79,0.009571995
17/02/2011,37.43,0.028728263
16/02/2011,36.37,-0.006303981
15/02/2011,36.6,-0.007349972
14/02/2011,36.87,0.00571197
11/02/2011,36.66,-0.001362955
10/02/2011,36.71,0.001090215
09/02/2011,36.67,0.003004235
08/02/2011,36.56,0.002190581
