Date,Close,SEE
25/05/2011,25.21,-0.001189296
24/05/2011,25.24,-0.004743092
23/05/2011,25.36,-0.014873073
20/05/2011,25.74,-0.010050336
19/05/2011,26,0.008885513
18/05/2011,25.77,0.008182395
17/05/2011,25.56,-0.010895049
16/05/2011,25.84,0.009331327
13/05/2011,25.6,-0.01780922
12/05/2011,26.06,0.001151853
11/05/2011,26.03,-0.001535509
10/05/2011,26.07,0.007701232
09/05/2011,25.87,0.006203975
06/05/2011,25.71,0.007417563
05/05/2011,25.52,0.002746715
04/05/2011,25.45,-0.007827829
03/05/2011,25.65,-0.005055426
02/05/2011,25.78,0.000387973
29/04/2011,25.77,0
28/04/2011,25.77,-0.005803847
27/04/2011,25.92,-0.026647941
26/04/2011,26.62,0.012854619
25/04/2011,26.28,-0.002660081
21/04/2011,26.35,0.001139169
20/04/2011,26.32,0.008393792
19/04/2011,26.1,0.013112413
18/04/2011,25.76,-0.012729198
15/04/2011,26.09,0.00730913
14/04/2011,25.9,0.004256149
13/04/2011,25.79,-0.003097176
12/04/2011,25.87,-0.005781477
11/04/2011,26.02,-0.006512185
08/04/2011,26.19,-0.014028666
07/04/2011,26.56,-0.006380206
06/04/2011,26.73,-0.002988422
05/04/2011,26.81,0.000373065
04/04/2011,26.8,-0.003724399
01/04/2011,26.9,0.008961972
31/03/2011,26.66,0.004134567
30/03/2011,26.55,0.008320774
29/03/2011,26.33,0.006095257
28/03/2011,26.17,-0.009886012
25/03/2011,26.43,0.003031454
24/03/2011,26.35,0.001139169
23/03/2011,26.32,0.001520913
22/03/2011,26.28,-0.003797954
21/03/2011,26.38,0.02106954
18/03/2011,25.83,0.016000341
17/03/2011,25.42,0.010678369
16/03/2011,25.15,-0.025516595
15/03/2011,25.8,-0.009259325
14/03/2011,26.04,-0.005361943
11/03/2011,26.18,0.002677378
10/03/2011,26.11,-0.015957785
09/03/2011,26.53,-0.007136181
08/03/2011,26.72,0.01091262
07/03/2011,26.43,-0.017626558
04/03/2011,26.9,-0.014394048
03/03/2011,27.29,0.01365083
02/03/2011,26.92,0.002603684
01/03/2011,26.85,-0.024647192
28/02/2011,27.52,0.002546845
25/02/2011,27.45,0.008414171
24/02/2011,27.22,-0.018562862
23/02/2011,27.73,-0.000720981
22/02/2011,27.75,-0.017503572
18/02/2011,28.24,-0.002475686
17/02/2011,28.31,-0.000706215
16/02/2011,28.33,-0.004226847
15/02/2011,28.45,-0.002457435
14/02/2011,28.52,0.004568625
11/02/2011,28.39,0.006006024
10/02/2011,28.22,-0.008468646
09/02/2011,28.46,-0.001053556
08/02/2011,28.49,0.005631835
07/02/2011,28.33,0.005663732
04/02/2011,28.17,-0.000354925
03/02/2011,28.18,0.022609971
02/02/2011,27.55,-0.014056818
01/02/2011,27.94,0.04577039
31/01/2011,26.69,0.001875118
28/01/2011,26.64,-0.020067563
27/01/2011,27.18,-0.002205073
26/01/2011,27.24,0.015538603
25/01/2011,26.82,-0.000372787
24/01/2011,26.83,0.052804921
21/01/2011,25.45,-0.008607252
20/01/2011,25.67,-0.000778816
19/01/2011,25.69,-0.039684719
18/01/2011,26.73,-0.004851661
14/01/2011,26.86,0.010479138
13/01/2011,26.58,0.012112184
12/01/2011,26.26,0.004962789
11/01/2011,26.13,0.008455085
10/01/2011,25.91,-0.000771605
07/01/2011,25.93,0.003863992
06/01/2011,25.83,0.008553707
05/01/2011,25.61,0.001954271
04/01/2011,25.56,-0.007794272
03/01/2011,25.76,0.012107158
31/12/2010,25.45,-0.004704046
30/12/2010,25.57,-0.000781861
29/12/2010,25.59,0.001564334
28/12/2010,25.55,0.005494519
27/12/2010,25.41,0.000393623
23/12/2010,25.4,-0.002359419
22/12/2010,25.46,0.004329863
21/12/2010,25.35,0.007523298
20/12/2010,25.16,0.004381604
17/12/2010,25.05,0.002398083
16/12/2010,24.99,0.008842501
15/12/2010,24.77,0.005668031
14/12/2010,24.63,0.009792
13/12/2010,24.39,0.002874155
10/12/2010,24.32,0.005359732
09/12/2010,24.19,0.008302248
08/12/2010,23.99,-0.005404295
07/12/2010,24.12,-0.000828844
06/12/2010,24.14,-0.005782751
03/12/2010,24.28,0.012432817
02/12/2010,23.98,0.015126339
01/12/2010,23.62,0.015788679
30/11/2010,23.25,-0.011971071
29/11/2010,23.53,0.011541056
26/11/2010,23.26,-0.005573434
24/11/2010,23.39,0.021608447
23/11/2010,22.89,-0.00522877
22/11/2010,23.01,0.006102896
19/11/2010,22.87,0.007461084
18/11/2010,22.7,0.010628975
17/11/2010,22.46,0.009393941
16/11/2010,22.25,-0.010728757
15/11/2010,22.49,-0.001333037
12/11/2010,22.52,-0.012795233
